"state","state_code","FIPS","county","pop_2024","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss","combined_loss_noself","terminated_loss_log","terminated_loss_noself_log","terminated_econ_loss_log","terminated_job_loss_log","terminated_econ_loss_noself_log","terminated_job_loss_noself_log","IDC_loss_log","IDC_econ_loss_log","IDC_job_loss_log","grant_funds_log","grant_funds_econ_log","combined_loss_log","combined_econ_loss_log","combined_job_loss_log","combined_loss_noself_log"
"Alabama","AL","01001","Autauga County",61464,48782.3473878638,48782.3473878638,117567.39908004,0.458726422014024,117567.39908004,0.458726422014024,149697.121289835,361971.56160805,1.41082738920826,1050209.43703493,2539234.61058813,1745.83346906761,4209.61534748336,0.0163760927460544,0,0,0,196733.635208632,479538.96068809,1.86955381122228,198479.468677699,10.795144291553,10.795144291553,11.6747755630305,0.377563741344233,11.6747755630305,0.377563741344233,11.9163760204949,12.7993236912724,0.879970003607619,13.8645011182768,14.7473736529896,12.1896110702627,13.0805825080774,1.05415655121229,12.1984459796975
"Alabama","AL","01003","Baldwin County",261608,47996.8724685897,47996.8724685897,117550.904317752,0.457423080357794,117550.904317752,0.457423080357794,375820.998465426,921082.036985947,3.57653819310052,2226646.48200415,5477103.80088335,2215.12134977455,5463.5580113316,0.0210728072716377,0,0,0,421602.749584241,1038632.9413037,4.03396127345832,423817.870934016,10.7789119653367,10.7789119653367,11.6746352539029,0.376669862795171,11.6746352539029,0.376669862795171,12.8368709019423,13.7333054707672,1.52094285929034,14.6160076409412,15.5160871983068,12.9518211698705,13.8534168897194,1.61620720368757,12.9570614517486
"Alabama","AL","01005","Barbour County",24358,11566.2490476103,11566.2490476103,27972.6045964012,0.109288675192784,27972.6045964012,0.109288675192784,38335.7972158781,93436.901584454,0.36510466657612,266319.676772663,649580.048179873,433.050053276226,1050.44242007738,0.00410698768848225,0,0,0,49468.9962102122,121409.506180855,0.474393341768904,49902.0462634884,9.35593302593681,9.35593302593681,10.2390166515572,0.103718976743254,10.2390166515572,0.103718976743254,10.5541654767482,11.4450523404517,0.311231104507598,12.4924564134467,13.3840828928041,10.809121627614,11.7069326957152,0.388246611471326,10.8178373272408
"Alabama","AL","01007","Bibb County",22258,22886.3074609932,22886.3074609932,55338.3056517832,0.215736545026383,55338.3056517832,0.215736545026383,83349.7628995663,202972.362105629,0.790747715327734,612596.850955176,1489065.0535476,1086.4964254529,2652.24526802676,0.010347917045245,0,0,0,105149.573935107,258310.667757413,1.00648426035412,106236.070360559,10.0383377765386,10.0383377765386,10.9212387063121,0.195350103019774,10.9212387063121,0.195350103019774,11.3308130411013,12.2208300282591,0.582633250692949,13.3254639653028,14.2136596716947,11.5631486393671,12.4619221494049,0.696384066365194,11.5734283886576
"Alabama","AL","01009","Blount County",60163,365000.938575471,365000.938575471,879623.456736865,3.43334032721582,879623.456736865,3.43334032721582,1044698.44357065,2524496.45587894,9.85437180599395,7723682.50197108,18652255.7007421,17034.9240382047,41136.4126886706,0.160617406657946,0,0,0,1392664.45810791,3404119.91261581,13.2877121332098,1409699.38214612,12.8076579437162,12.8076579437162,13.687250341661,1.48915332412583,13.687250341661,1.48915332412583,13.8592397882043,14.7415525735083,2.38456793025941,15.859801945768,16.7414776994546,14.1467300646283,15.0404972887895,2.65939987647946,14.1588877448423
"Alabama","AL","01011","Bullock County",9901,4041.70515159412,4041.70515159412,9733.88837324495,0.0379920284249847,9733.88837324495,0.0379920284249847,29022.0124360325,69941.14789236,0.272930422299009,173631.052348794,418546.435428397,139.305963913503,335.499164734097,0.00130947606078692,0,0,0,32924.4116237131,79675.0362656049,0.310922450723993,33063.7175876266,8.30466933885725,8.30466933885725,9.18347145120178,0.0372881049694913,9.18347145120178,0.0372881049694913,10.2758443265653,11.1554237206457,0.241321661600017,12.0646936975113,12.9445455087929,10.4020000283925,11.2857241453585,0.270731050266136,10.406222058945
"Alabama","AL","01013","Butler County",18256,12981.9743032445,12981.9743032445,31707.6257976923,0.123832372695197,31707.6257976923,0.123832372695197,33420.0797173953,82830.5741512257,0.323759735203425,242342.09478153,600604.179331513,412.880444616523,1008.41810581798,0.00394663047762921,0,0,0,45989.1735760232,114538.199948918,0.447592107898622,46402.0540206398,9.47139410909653,9.47139410909653,10.3643440300336,0.116744605737013,10.3643440300336,0.116744605737013,10.4169421091498,11.3245645980142,0.280475972167758,12.3981097481155,13.3056930580898,10.7361830347391,11.6486724010179,0.369901560840297,10.7451205554587
"Alabama","AL","01015","Calhoun County",116427,103489.776538623,103489.776538623,250548.762891534,0.978632894783616,250548.762891534,0.978632894783616,313808.121085624,764073.069016978,2.9799000844994,2295648.14607015,5584146.16136776,5149.65735938495,12661.4453472589,0.0495684974114598,0,0,0,412148.240264862,1014621.83190851,3.95853297928302,417297.897624247,11.5472377721477,11.5472377721477,12.4314128340355,0.682406149051116,12.4314128340355,0.682406149051116,12.6565401854158,13.5464200124245,1.38125671458409,14.6465262137998,15.5354422771902,12.9291407963935,13.830027507221,1.60110992668233,12.9415580248897
"Alabama","AL","01017","Chambers County",33813,42838.4535838943,42838.4535838943,103216.297704846,0.402809298539533,103216.297704846,0.402809298539533,207822.628048573,501279.839966142,1.95499311233627,1307174.27906004,3155334.8817886,1358.7594056984,3285.69037748922,0.012806450180018,0,0,0,249302.322226769,604496.137670987,2.3578024108758,250661.081632467,10.6652147696693,10.6652147696693,11.5445917314031,0.338476867818755,11.5445917314031,0.338476867818755,12.2444450569031,13.1249217818273,1.08349632000467,14.0833790915413,14.9646055084458,12.4264255956433,13.3121522139902,1.21128671561258,12.4318610227367
"Alabama","AL","01019","Cherokee County",26138,8943.03895021523,8943.03895021523,21643.7394895146,0.0845761491414093,21643.7394895146,0.0845761491414093,28278.4257994147,68716.4335519051,0.268556092056137,203640.22196432,493877.814216599,383.091400762132,922.622703018766,0.00360105916716404,0,0,0,36838.3733488678,90360.1730414197,0.353132241197546,37221.46474963,9.09874255028424,9.09874255028424,9.98251772420719,0.0811892647177972,9.98251772420719,0.0811892647177972,10.2498898156818,11.13775820951,0.237879318280298,12.2241150086088,13.1100454507243,10.5143224801504,11.4115699523638,0.302422083656788,10.5246677491115
