org_name,org_city,org_state,inst_street_address,latitude,longitude,GEOID,STUSPS,NAMELSADCO,STATE_NAME
University of Puerto Rico-Rio Piedras,SAN JUAN,PR,39 PONCE DE LEON AVE,18.4028,-66.0499,"72127005800",PR,San Juan Municipio,Puerto Rico
University of Puerto Rico Medical Sciences Campus,SAN JUAN,PR,B622 MAIN BUILDING FLR 6,18.3943,-66.0506,"72127009300",PR,San Juan Municipio,Puerto Rico
University of Puerto Rico Mayaguez,MAYAGUEZ,PR,259 BLVD ALFONSO VALDES,18.2116,-67.1396,"72097080100",PR,Mayagüez Municipio,Puerto Rico
University of Puerto Rico-Arecibo Campus,ARECIBO,PR,CARR 653 KM 0.8,18.4705,-66.7156,"72013300500",PR,Arecibo Municipio,Puerto Rico
University of Guam,MANGILAO,GU,303 UNIVERSITY DR,13.4443,144.8008,"66010952900",GU,Guam,Guam
Impactivo LLC,SAN JUAN,PR,COND LAGUNA TERRACE,18.4565,-66.085,"72127001900",PR,San Juan Municipio,Puerto Rico
University of Puerto Rico at Aguadilla,AGUADILLA,PR,C BELT 752,18.4949,-67.1359,"72005400300",PR,Aguadilla Municipio,Puerto Rico
DOCARE LLC,CAROLINA,PR,7043 CARR 187 APT 313B,18.4422,-65.994,"72031980003",PR,Carolina Municipio,Puerto Rico
University of Puerto Rico at Aguadilla,AGUADILLA,PR,"C BELT 752, BASE RAMEY",18.4949,-67.1359,"72005400300",PR,Aguadilla Municipio,Puerto Rico
