countyyequivalent,statename,CountyFIPS,CBSA_NAME,Micro_Metro,CSA_NAME,CBSA_FIPS,CSA_FIPS,centraloutlyingcounty
Montgomery County,Indiana,18107,"Crawfordsville, IN",Micro Area,"Indianapolis-Carmel-Muncie, IN",18820,294,Central
Morgan County,Indiana,18109,"Indianapolis-Carmel-Greenwood, IN",Metro Area,"Indianapolis-Carmel-Muncie, IN",26900,294,Central
Newton County,Indiana,18111,"Chicago-Naperville-Elgin, IL-IN",Metro Area,"Chicago-Naperville, IL-IN-WI",16980,176,Outlying
Noble County,Indiana,18113,"Kendallville, IN",Micro Area,"Fort Wayne-Huntington-Auburn, IN",28340,258,Central
Ohio County,Indiana,18115,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Outlying
Owen County,Indiana,18119,"Bloomington, IN",Metro Area,"Bloomington-Bedford, IN",14020,144,Outlying
Porter County,Indiana,18127,"Chicago-Naperville-Elgin, IL-IN",Metro Area,"Chicago-Naperville, IL-IN-WI",16980,176,Central
Posey County,Indiana,18129,"Evansville, IN",Metro Area,"Evansville-Henderson, IN-KY",21780,241,Outlying
Putnam County,Indiana,18133,"Greencastle, IN",Micro Area,"Indianapolis-Carmel-Muncie, IN",24600,294,Central
St. Joseph County,Indiana,18141,"South Bend-Mishawaka, IN-MI",Metro Area,"South Bend-Elkhart-Mishawaka, IN-MI",43780,515,Central
Shelby County,Indiana,18145,"Indianapolis-Carmel-Greenwood, IN",Metro Area,"Indianapolis-Carmel-Muncie, IN",26900,294,Outlying
Steuben County,Indiana,18151,"Angola, IN",Micro Area,"Fort Wayne-Huntington-Auburn, IN",11420,258,Central
Sullivan County,Indiana,18153,"Terre Haute, IN",Metro Area,,45460,,Outlying
Tippecanoe County,Indiana,18157,"Lafayette-West Lafayette, IN",Metro Area,"Lafayette-West Lafayette-Frankfort, IN",29200,320,Central
Tipton County,Indiana,18159,"Indianapolis-Carmel-Greenwood, IN",Metro Area,"Indianapolis-Carmel-Muncie, IN",26900,294,Outlying
Vanderburgh County,Indiana,18163,"Evansville, IN",Metro Area,"Evansville-Henderson, IN-KY",21780,241,Central
Vermillion County,Indiana,18165,"Terre Haute, IN",Metro Area,,45460,,Outlying
Vigo County,Indiana,18167,"Terre Haute, IN",Metro Area,,45460,,Central
Wabash County,Indiana,18169,"Wabash, IN",Micro Area,,47340,,Central
Warren County,Indiana,18171,"Lafayette-West Lafayette, IN",Metro Area,"Lafayette-West Lafayette-Frankfort, IN",29200,320,Outlying
Warrick County,Indiana,18173,"Evansville, IN",Metro Area,"Evansville-Henderson, IN-KY",21780,241,Central
Washington County,Indiana,18175,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Outlying
Wayne County,Indiana,18177,"Richmond, IN",Micro Area,"Richmond-Connersville, IN",39980,458,Central
Wells County,Indiana,18179,"Fort Wayne, IN",Metro Area,"Fort Wayne-Huntington-Auburn, IN",23060,258,Outlying
White County,Indiana,18181,"Monticello, IN",Micro Area,"Lafayette-West Lafayette-Frankfort, IN",33900,320,Central
Whitley County,Indiana,18183,"Fort Wayne, IN",Metro Area,"Fort Wayne-Huntington-Auburn, IN",23060,258,Outlying
Benton County,Iowa,19011,"Cedar Rapids, IA",Metro Area,"Cedar Rapids-Iowa City, IA",16300,168,Outlying
Black Hawk County,Iowa,19013,"Waterloo-Cedar Falls, IA",Metro Area,,47940,,Central
Boone County,Iowa,19015,"Ames, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",11180,218,Outlying
Bremer County,Iowa,19017,"Waterloo-Cedar Falls, IA",Metro Area,,47940,,Outlying
Buena Vista County,Iowa,19021,"Storm Lake, IA",Micro Area,,44740,,Central
Carroll County,Iowa,19027,"Carroll, IA",Micro Area,,16140,,Central
Cerro Gordo County,Iowa,19033,"Mason City, IA",Micro Area,,32380,,Central
Clay County,Iowa,19041,"Spencer, IA",Micro Area,"Spencer-Spirit Lake, IA",43980,517,Central
Clinton County,Iowa,19045,"Clinton, IA",Micro Area,"Davenport-Moline, IA-IL",17540,209,Central
Dallas County,Iowa,19049,"Des Moines-West Des Moines, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",19780,218,Central
Des Moines County,Iowa,19057,"Burlington, IA-IL",Micro Area,"Burlington-Fort Madison, IA-IL",15460,161,Central
Dickinson County,Iowa,19059,"Spirit Lake, IA",Micro Area,"Spencer-Spirit Lake, IA",44020,517,Central
Dubuque County,Iowa,19061,"Dubuque, IA",Metro Area,,20220,,Central
Grundy County,Iowa,19075,"Waterloo-Cedar Falls, IA",Metro Area,,47940,,Outlying
Guthrie County,Iowa,19077,"Des Moines-West Des Moines, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",19780,218,Outlying
Harrison County,Iowa,19085,"Omaha, NE-IA",Metro Area,"Omaha-Fremont, NE-IA",36540,420,Outlying
Jasper County,Iowa,19099,"Des Moines-West Des Moines, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",19780,218,Outlying
Johnson County,Iowa,19103,"Iowa City, IA",Metro Area,"Cedar Rapids-Iowa City, IA",26980,168,Central
Jones County,Iowa,19105,"Cedar Rapids, IA",Metro Area,"Cedar Rapids-Iowa City, IA",16300,168,Outlying
Lee County,Iowa,19111,"Fort Madison, IA",Micro Area,"Burlington-Fort Madison, IA-IL",22800,161,Central
Linn County,Iowa,19113,"Cedar Rapids, IA",Metro Area,"Cedar Rapids-Iowa City, IA",16300,168,Central
Madison County,Iowa,19121,"Des Moines-West Des Moines, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",19780,218,Outlying
Mahaska County,Iowa,19123,"Oskaloosa, IA",Micro Area,"Des Moines-West Des Moines-Ames, IA",36820,218,Central
Marion County,Iowa,19125,"Pella, IA",Micro Area,"Des Moines-West Des Moines-Ames, IA",37800,218,Central
Marshall County,Iowa,19127,"Marshalltown, IA",Micro Area,,32260,,Central
Mills County,Iowa,19129,"Omaha, NE-IA",Metro Area,"Omaha-Fremont, NE-IA",36540,420,Outlying
Muscatine County,Iowa,19139,"Muscatine, IA",Micro Area,"Davenport-Moline, IA-IL",34700,209,Central
Plymouth County,Iowa,19149,"Le Mars, IA",Micro Area,"Sioux City-Le Mars, IA-NE-SD",30180,512,Central
Polk County,Iowa,19153,"Des Moines-West Des Moines, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",19780,218,Central
Pottawattamie County,Iowa,19155,"Omaha, NE-IA",Metro Area,"Omaha-Fremont, NE-IA",36540,420,Central
Scott County,Iowa,19163,"Davenport-Moline-Rock Island, IA-IL",Metro Area,"Davenport-Moline, IA-IL",19340,209,Central
Story County,Iowa,19169,"Ames, IA",Metro Area,"Des Moines-West Des Moines-Ames, IA",11180,218,Central
Wapello County,Iowa,19179,"Ottumwa, IA",Micro Area,,36900,,Central
