table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
MSA,pop_2024
".Duncan, OK Micro Area","44,075"
".Durango, CO Micro Area","56,823"
".Durant, OK Micro Area","50,305"
".Dyersburg, TN Micro Area","36,403"
".Easton, MD Micro Area","38,244"
".East Stroudsburg, PA Micro Area","166,523"
".Edwards, CO Micro Area","54,330"
".Effingham, IL Micro Area","44,907"
".El Campo, TX Micro Area","42,035"
".El Dorado, AR Micro Area","37,008"
".Elizabeth City, NC Micro Area","41,418"
".Elk City, OK Micro Area","22,248"
".Elkins, WV Micro Area","27,190"
".Elko, NV Micro Area","56,240"
".Ellensburg, WA Micro Area","48,172"
".Emporia, KS Micro Area","35,027"
".Enterprise, AL Micro Area","56,358"
".Escanaba, MI Micro Area","36,687"
".Española, NM Micro Area","39,955"
".Eufaula, AL-GA Micro Area","26,681"
".Eureka-Arcata, CA Micro Area","132,380"
".Evanston, WY-UT Micro Area","23,373"
".Fairmont, MN Micro Area","19,561"
".Fairmont, WV Micro Area","55,649"
".Fallon, NV Micro Area","26,033"
".Faribault-Northfield, MN Micro Area","69,025"
".Farmington, MO Micro Area","67,503"
".Fayetteville, TN Micro Area","36,751"
".Fergus Falls, MN Micro Area","60,884"
".Findlay, OH Micro Area","75,016"
".Fitzgerald, GA Micro Area","16,945"
".Forest City, NC Micro Area","65,587"
".Forrest City, AR Micro Area","21,822"
".Fort Dodge, IA Micro Area","36,909"
".Fort Leonard Wood, MO Micro Area","53,964"
".Fort Madison, IA Micro Area","32,376"
".Fort Morgan, CO Micro Area","30,300"
".Fort Payne, AL Micro Area","73,122"
".Frankfort, IN Micro Area","32,895"
".Frankfort, KY Micro Area","77,325"
".Franklin, KY Micro Area","20,350"
".Fredericksburg, TX Micro Area","28,159"
".Freeport, IL Micro Area","43,088"
".Fremont, NE Micro Area","37,884"
".Fremont, OH Micro Area","58,866"
".Gaffney, SC Micro Area","57,770"
".Gainesville, TX Micro Area","44,258"
".Galesburg, IL Micro Area","48,716"
".Gallipolis, OH Micro Area","28,886"
".Gallup, NM Micro Area","68,945"
".Garden City, KS Micro Area","38,354"
".Gardnerville Ranchos, NV-CA Micro Area","50,663"
".Gillette, WY Micro Area","47,946"
".Glasgow, KY Micro Area","56,167"
".Gloversville, NY Micro Area","52,073"
".Granbury, TX Micro Area","69,126"
".Grand Rapids, MN Micro Area","45,442"
".Great Bend, KS Micro Area","24,835"
".Greencastle, IN Micro Area","37,804"
".Greeneville, TN Micro Area","73,398"
".Greenfield, MA Micro Area","70,871"
".Greensburg, IN Micro Area","26,421"
".Greenville, MS Micro Area","41,181"
".Greenville, OH Micro Area","51,462"
".Greenwood, MS Micro Area","35,535"
".Greenwood, SC Micro Area","94,648"
".Grenada, MS Micro Area","30,342"
".Guymon, OK Micro Area","20,577"
".Hailey, ID Micro Area","32,064"
".Hannibal, MO Micro Area","38,924"
".Harrison, AR Micro Area","45,662"
".Hastings, NE Micro Area","40,625"
".Hays, KS Micro Area","29,007"
".Heber, UT Micro Area","80,967"
".Hemlock Farms, PA Micro Area","62,376"
".Henderson, KY Micro Area","57,029"
".Henderson, NC Micro Area","42,337"
".Hereford, TX Micro Area","18,495"
".Hermiston-Pendleton, OR Micro Area","92,851"
".Hermitage, PA Micro Area","108,140"
".Hillsdale, MI Micro Area","45,590"
".Hilo-Kailua, HI Micro Area","209,790"
".Hobbs, NM Micro Area","75,151"
".Holland, MI Micro Area","122,429"
".Hood River, OR Micro Area","23,764"
".Houghton, MI Micro Area","40,202"
".Hudson, NY Micro Area","60,299"
".Huntingdon, PA Micro Area","43,359"
".Huntington, IN Micro Area","36,944"
".Huntsville, TX Micro Area","83,722"
".Huron, SD Micro Area","19,459"
".Hutchinson, KS Micro Area","61,417"
".Hutchinson, MN Micro Area","36,780"
".Indiana, PA Micro Area","82,953"
".Iron Mountain, MI-WI Micro Area","30,668"
".Jackson, WY-ID Micro Area","36,204"
".Jacksonville, IL Micro Area","37,498"
".Jacksonville, TX Micro Area","53,223"
".Jamestown, ND Micro Area","21,546"
".Jamestown-Dunkirk, NY Micro Area","124,105"
".Jasper, IN Micro Area","43,629"
".Jefferson, GA Micro Area","93,825"
".Jesup, GA Micro Area","32,132"
".Juneau, AK Micro Area","31,572"
".Kalispell, MT Micro Area","114,527"
".Kapaa, HI Micro Area","73,840"
".Kearney, NE Micro Area","57,905"
".Keene, NH Micro Area","78,078"
".Kendallville, IN Micro Area","47,811"
".Kennett, MO Micro Area","27,002"
".Kerrville, TX Micro Area","53,900"
".Ketchikan, AK Micro Area","13,677"
".Key West-Key Largo, FL Micro Area","80,908"
".Kill Devil Hills, NC Micro Area","38,183"
".Kingsland, GA Micro Area","59,099"
".Kingsville, TX Micro Area","30,442"
".Kinston, NC Micro Area","55,332"
".Kirksville, MO Micro Area","29,729"
".Klamath Falls, OR Micro Area","70,438"
".Laconia, NH Micro Area","65,257"
".La Grande, OR Micro Area","26,058"
".LaGrange, GA-AL Micro Area","105,326"
".Lake City, FL Micro Area","73,977"
".Lake of the Woods, VA Micro Area","38,986"
".Laramie, WY Micro Area","39,288"
".Las Vegas, NM Micro Area","30,524"
".Laurel, MS Micro Area","81,636"
".Laurinburg, NC Micro Area","33,898"
".Lawrenceburg, TN Micro Area","46,467"
".Lebanon, MO Micro Area","36,738"
".Lebanon-Claremont, NH-VT Micro Area","224,804"
".Le Mars, IA Micro Area","25,825"
".Lewisburg, PA Micro Area","42,159"
".Lewisburg, TN Micro Area","37,847"
".Lewistown, PA Micro Area","45,935"
".Lexington, NE Micro Area","26,362"
".Liberal, KS Micro Area","21,276"
".Lincoln, IL Micro Area","27,518"
".Lock Haven, PA Micro Area","37,865"
".Logansport, IN Micro Area","37,559"
".Los Alamos, NM Micro Area","19,675"
".Ludington, MI Micro Area","29,093"
".Lufkin, TX Micro Area","88,094"
".Lumberton, NC Micro Area","118,624"
".Macomb, IL Micro Area","26,662"
".Madison, IN Micro Area","32,921"
".Madisonville, KY Micro Area","45,218"
".Magnolia, AR Micro Area","22,024"
".Malvern, AR Micro Area","33,313"
".Manitowoc, WI Micro Area","81,513"
".Marietta, OH Micro Area","58,332"
".Marinette, WI-MI Micro Area","65,393"
".Marion, IN Micro Area","66,458"
".Marion, NC Micro Area","45,269"
".Marion, OH Micro Area","64,976"
".Marion-Herrin, IL Micro Area","67,064"
".Marquette, MI Micro Area","67,979"
".Marshall, MN Micro Area","25,577"
".Marshall, MO Micro Area","23,325"
".Marshalltown, IA Micro Area","40,392"
".Martin, TN Micro Area","33,162"
".Martinsville, VA Micro Area","63,219"
".Maryville, MO Micro Area","20,503"
".Mason City, IA Micro Area","49,800"
".Massena-Ogdensburg, NY Micro Area","106,198"
