org_name.nih,org_city.nih,org_state.nih,lat.nih,lon.nih,org_name.nsf,org_city.nsf,org_state.nsf,lat.nsf,lon.nsf,org_name,org_city,org_state,lat,lon
Beckman Research Institute,Duarte,CA,34.12772,-117.97244,NA,NA,NA,NA,NA,Beckman Research Institute,Duarte,CA,34.12772,-117.97244
"Bellage, Inc.",Sunnyside,NY,40.74767,-73.9181,NA,NA,NA,NA,NA,"Bellage, Inc.",Sunnyside,NY,40.74767,-73.9181
NA,NA,NA,NA,NA,Benedictine University,Lisle,IL,41.7766,-88.09664,Benedictine University,Lisle,IL,41.7766,-88.09664
NA,NA,NA,NA,NA,Berry College,Mount Berry,GA,34.28942,-85.19317,Berry College,Mount Berry,GA,34.28942,-85.19317
Beth Israel Deaconess Medical Center,Boston,MA,42.33982,-71.10568,NA,NA,NA,NA,NA,Beth Israel Deaconess Medical Center,Boston,MA,42.33982,-71.10568
NA,NA,NA,NA,NA,Bethune-Cookman University,Daytona Beach,FL,29.21146,-81.03311,Bethune-Cookman University,Daytona Beach,FL,29.21146,-81.03311
NA,NA,NA,NA,NA,Black in Marine Science,Spokane,WA,47.65818,-117.42079,Black in Marine Science,Spokane,WA,47.65818,-117.42079
NA,NA,NA,NA,NA,Boise State University,Boise,ID,43.60932,-116.21081,Boise State University,Boise,ID,43.60932,-116.21081
Boston Children's Hospital,Boston,MA,42.33748,-71.10496,NA,NA,NA,NA,NA,Boston Children's Hospital,Boston,MA,42.33748,-71.10496
Boston College,Chestnut Hill,MA,42.33696,-71.1705,Boston College,Chestnut Hill,MA,42.33696,-71.1705,Boston College,Chestnut Hill,MA,42.33696,-71.1705
Boston Medical Center,Boston,MA,42.33685,-71.07088,NA,NA,NA,NA,NA,Boston Medical Center,Boston,MA,42.33685,-71.07088
Boston University,Boston,MA,42.33639,-71.07097,Boston University,Boston,MA,42.34959,-71.09973,Boston University,Boston,MA,42.34959,-71.09973
Boston University,Boston,MA,42.34959,-71.09973,Boston University,Boston,MA,42.34959,-71.09973,Boston University,Boston,MA,42.34959,-71.09973
Boston University,Boston,MA,42.33639,-71.07097,Trustees of Boston University,Boston,MA,42.34969,-71.10009,Boston University,Boston,MA,42.34959,-71.09973
Boston University,Boston,MA,42.34959,-71.09973,Trustees of Boston University,Boston,MA,42.34969,-71.10009,Boston University,Boston,MA,42.34959,-71.09973
NA,NA,NA,NA,NA,Botanical Society of America,Saint Louis,MO,38.61674,-90.26122,Botanical Society of America,Saint Louis,MO,38.61674,-90.26122
NA,NA,NA,NA,NA,Bowdoin College,Brunswick,ME,43.90785,-69.96173,Bowdoin College,Brunswick,ME,43.90785,-69.96173
NA,NA,NA,NA,NA,Bowie State University,Bowie,MD,39.01927,-76.75935,Bowie State University,Bowie,MD,39.01927,-76.75935
NA,NA,NA,NA,NA,Bowling Green State University,Bowling Green,OH,41.37934,-83.61483,Bowling Green State University,Bowling Green,OH,41.37934,-83.61483
NA,NA,NA,NA,NA,Bradley University,Peoria,IL,40.69666,-89.61579,Bradley University,Peoria,IL,40.69666,-89.61579
Brandeis University,Waltham,MA,42.36638,-71.25452,Brandeis University,Waltham,MA,42.36638,-71.25452,Brandeis University,Waltham,MA,42.36638,-71.25452
NA,NA,NA,NA,NA,Bridgewater State University,Bridgewater,MA,41.98691,-70.97075,Bridgewater State University,Bridgewater,MA,41.98691,-70.97075
Brigham and Women's Hospital,Boston,MA,42.33611,-71.10748,NA,NA,NA,NA,NA,Brigham and Women's Hospital,Boston,MA,42.33611,-71.10748
"Broad Institute, Inc.",Cambridge,MA,42.36308,-71.08789,NA,NA,NA,NA,NA,"Broad Institute, Inc.",Cambridge,MA,42.36308,-71.08789
"Bronxworks, Inc.",Bronx,NY,40.851,-73.9081,NA,NA,NA,NA,NA,"Bronxworks, Inc.",Bronx,NY,40.851,-73.9081
Brooklyn College,New York,NY,40.63164,-73.95287,NA,NA,NA,NA,NA,Brooklyn College,New York,NY,40.63164,-73.95287
Brown University,Providence,RI,41.82614,-71.40451,Brown University,Providence,RI,41.82614,-71.40451,Brown University,Providence,RI,41.82614,-71.40451
Butler Hospital,Providence,RI,41.84359,-71.37966,NA,NA,NA,NA,NA,Butler Hospital,Providence,RI,41.84359,-71.37966
NA,NA,NA,NA,NA,CSU Fullerton Auxiliary Services Corporation,Fullerton,CA,33.88123,-117.89057,CSU Fullerton Auxiliary Services Corporation,Fullerton,CA,33.88123,-117.89057
NA,NA,NA,NA,NA,CSUB Auxiliary for Sponsored Programs Administration,Bakersfield,CA,35.34879,-119.10273,CSUB Auxiliary for Sponsored Programs Administration,Bakersfield,CA,35.34879,-119.10273
NA,NA,NA,NA,NA,CUNY Borough of Manhattan Community College,New York,NY,40.71745,-74.01225,CUNY Borough of Manhattan Community College,New York,NY,40.71745,-74.01225
NA,NA,NA,NA,NA,CUNY City College,New York,NY,40.81924,-73.94904,CUNY City College,New York,NY,40.81924,-73.94904
NA,NA,NA,NA,NA,CUNY College of Staten Island,Staten Island,NY,40.60087,-74.15172,CUNY College of Staten Island,Staten Island,NY,40.60087,-74.15172
NA,NA,NA,NA,NA,CUNY John Jay College of Criminal Justice,New York,NY,40.7707,-73.98926,CUNY John Jay College of Criminal Justice,New York,NY,40.7707,-73.98926
NA,NA,NA,NA,NA,CUNY Kingsborough Community College,Brooklyn,NY,40.57877,-73.93451,CUNY Kingsborough Community College,Brooklyn,NY,40.57877,-73.93451
NA,NA,NA,NA,NA,CUNY New York City College of Technology,Brooklyn,NY,40.69551,-73.98649,CUNY New York City College of Technology,Brooklyn,NY,40.69551,-73.98649
Queens College,Flushing,NY,40.73586,-73.81575,CUNY Queens College,Flushing,NY,40.73575,-73.8204,CUNY Queens College,Flushing,NY,40.73586,-73.81575
NA,NA,NA,NA,NA,CUNY Queensborough Community College,Bayside,NY,40.75541,-73.7574,CUNY Queensborough Community College,Bayside,NY,40.75541,-73.7574
California Institute of Technology,Pasadena,CA,34.13433,-118.12652,NA,NA,NA,NA,NA,California Institute of Technology,Pasadena,CA,34.13433,-118.12652
"California Polytechnic State University, San Luis Obispo",San Luis Obispo,CA,35.29932,-120.65662,California Polytechnic State University Foundation,San Luis Obispo,CA,35.30488,-120.65726,California Polytechnic State University,San Luis Obispo,CA,35.29932,-120.65662
NA,NA,NA,NA,NA,"Cal Poly Pomona Foundation, Inc..",Pomona,CA,34.06154,-117.81844,"California State Polytechnic University, Pomona",Pomona,CA,34.06154,-117.81844
California State University - Dominguez Hills,Carson,CA,33.86714,-118.25534,California State University - Dominguez Hills,Carson,CA,33.86714,-118.25534,California State University - Dominguez Hills,Carson,CA,33.86714,-118.25534
California State University - Dominguez Hills,Carson,CA,33.86714,-118.25534,California State University-Dominguez Hills Foundation,Carson,CA,33.86339,-118.25441,California State University - Dominguez Hills,Carson,CA,33.86714,-118.25534
California State University Bakersfield,Bakersfield,CA,35.35426,-119.10759,NA,NA,NA,NA,NA,California State University Bakersfield,Bakersfield,CA,35.35426,-119.10759
NA,NA,NA,NA,NA,California State University Channel Islands,Camarillo,CA,34.16195,-119.04353,California State University Channel Islands,Camarillo,CA,34.16195,-119.04353
NA,NA,NA,NA,NA,"California State University, East Bay Foundation, Inc..",Hayward,CA,37.65755,-122.06172,California State University East Bay,Hayward,CA,37.65755,-122.06172
NA,NA,NA,NA,NA,California State University-Fresno Foundation,Fresno,CA,36.80696,-119.73594,California State University Fresno,Fresno,CA,36.80696,-119.73594
California State University Fullerton,Fullerton,CA,33.8781,-117.88425,NA,NA,NA,NA,NA,California State University Fullerton,Fullerton,CA,33.8781,-117.88425
California State University Long Beach,Long Beach,CA,33.7811,-118.1099,California State University Long Beach,Long Beach,CA,33.7811,-118.1099,California State University Long Beach,Long Beach,CA,33.7811,-118.1099
California State University Long Beach,Long Beach,CA,33.7811,-118.1099,California State University-Long Beach Foundation,Long Beach,CA,33.78117,-118.11028,California State University Long Beach,Long Beach,CA,33.7811,-118.1099
California State University Northridge,Northridge,CA,34.24588,-118.50188,California State University Northridge,Northridge,CA,34.24588,-118.50188,California State University Northridge,Northridge,CA,34.24588,-118.50188
California State University Northridge,Northridge,CA,34.24588,-118.50188,"The University Corporation, Northridge",Northridge,CA,34.2401,-118.52933,California State University Northridge,Northridge,CA,34.24588,-118.50188
California State University San Marcos,San Marcos,CA,33.13799,-117.15109,California State University San Marcos,San Marcos,CA,33.13799,-117.15109,California State University San Marcos,San Marcos,CA,33.13799,-117.15109
