GEOID,name_geoid,lat,lon
0502,Congressional District 2,34.75168,-92.32629
0502,Congressional District 2,34.78955,-92.4582
0502,Congressional District 2,34.72761,-92.40477
0502,Congressional District 2,35.09056,-92.44077
0502,Congressional District 2,34.75849,-92.38855
0502,Congressional District 2,34.74637,-92.32049
0502,Congressional District 2,34.91495,-92.80586
0502,Congressional District 2,34.77844,-92.36968
0502,Congressional District 2,34.72125,-92.34039
0200,Congressional District (at Large),58.30146,-134.41033
0200,Congressional District (at Large),58.30111,-134.41429
0200,Congressional District (at Large),57.08297,-135.37886
0200,Congressional District (at Large),61.20128,-149.81589
0200,Congressional District (at Large),57.05029,-135.33492
0200,Congressional District (at Large),61.19539,-149.89268
0200,Congressional District (at Large),58.3819,-134.64071
0200,Congressional District (at Large),64.86073,-147.82294
0200,Congressional District (at Large),61.21644,-149.8949
0401,Congressional District 1,33.74369,-111.86496
0401,Congressional District 1,33.46412,-111.92353
0401,Congressional District 1,33.58374,-111.79512
0401,Congressional District 1,33.4646,-111.92299
0401,Congressional District 1,33.57623,-111.91277
0401,Congressional District 1,33.59427,-111.87354
0401,Congressional District 1,33.59602,-111.74398
0401,Congressional District 1,33.56701,-111.93389
0403,Congressional District 3,33.44178,-112.02572
0403,Congressional District 3,33.44932,-112.09574
0403,Congressional District 3,33.44996,-112.09918
0403,Congressional District 3,33.49696,-112.06678
0402,Congressional District 2,35.22494,-111.60364
0402,Congressional District 2,35.19831,-111.63214
0402,Congressional District 2,35.15793,-111.6456
0101,Congressional District 1,30.24946,-88.07748
0101,Congressional District 1,30.57496,-88.137200000000007
0503,Congressional District 3,36.04228,-94.1681
0503,Congressional District 3,36.17203,-94.11725
0503,Congressional District 3,36.07095,-94.17702
0503,Congressional District 3,35.32644,-94.42366
0106,Congressional District 6,33.42675,-86.76872
0107,Congressional District 6,33.37668,-86.8352
0107,Congressional District 6,33.37871,-86.8326
0106,Congressional District 6,33.40356,-86.71168
0106,Congressional District 6,33.47661,-86.69509
0406,Congressional District 6,32.29485,-110.94883
0406,Congressional District 6,32.28694,-110.94538
0406,Congressional District 6,32.2444,-110.71862
0406,Congressional District 6,32.32232,-110.95597
0406,Congressional District 6,32.30598,-111.00105
0406,Congressional District 6,32.31137,-110.85464
0406,Congressional District 6,32.33113,-110.95414
0406,Congressional District 6,32.33295,-110.86591
0406,Congressional District 6,32.00667,-110.69514
0406,Congressional District 6,32.23965,-110.8219
0406,Congressional District 6,32.241,-110.85836
0406,Congressional District 6,32.31943,-111.01529
0406,Congressional District 6,32.29582,-110.84214
0406,Congressional District 6,32.44147,-110.94152
0105,Congressional District 5,34.77047,-86.74961
0105,Congressional District 5,34.77423,-86.68529
0105,Congressional District 5,34.63718,-86.56624
0408,Congressional District 8,33.58712,-112.10859
0802,Congressional District 2,40.06503,-105.21098
0802,Congressional District 2,39.99752,-105.26952
0802,Congressional District 2,40.57224,-105.08609
0802,Congressional District 2,40.00244,-105.12833
0802,Congressional District 2,40.59429,-105.07566
0802,Congressional District 2,40.55527,-105.08776
0802,Congressional District 2,40.59647,-105.07181
0802,Congressional District 2,40.51664,-105.09468
0802,Congressional District 2,40.01866,-105.27985
0802,Congressional District 2,40.02167,-105.21709
0802,Congressional District 2,39.99296,-105.1073
0802,Congressional District 2,40.10338,-105.16308
0802,Congressional District 2,39.98087,-105.13756
0802,Congressional District 2,40.58806,-105.06628
0802,Congressional District 2,40.5142,-105.03116
0802,Congressional District 2,40.57767,-105.06936
0802,Congressional District 2,40.03164,-105.2434
0802,Congressional District 2,40.04543,-105.21324
0802,Congressional District 2,40.06026,-105.20277
0802,Congressional District 2,40.03249,-105.21346
0802,Congressional District 2,40.00694,-105.25684
0802,Congressional District 2,39.98451,-105.09409
0802,Congressional District 2,40.03621,-105.24196
0802,Congressional District 2,40.03724,-105.2813
0802,Congressional District 2,40.59649,-105.07183
0802,Congressional District 2,39.97878,-105.24145
0802,Congressional District 2,40.56974,-105.09931
0802,Congressional District 2,40.52372,-105.13141
0802,Congressional District 2,40.01562,-105.22269
0405,Congressional District 5,33.34718,-111.81531
0903,Congressional District 3,41.2872,-72.67463
0903,Congressional District 3,41.30497,-72.93134
0903,Congressional District 3,41.38975,-72.89763
0903,Congressional District 3,41.28366,-72.96045
0903,Congressional District 3,41.33053,-72.94457
0903,Congressional District 3,41.30464,-72.93102
0903,Congressional District 3,41.29923,-72.75169
0903,Congressional District 3,41.31063,-72.93684
0903,Congressional District 3,41.30797,-72.9242
0903,Congressional District 3,41.30949,-72.9236
0903,Congressional District 3,41.30696,-72.92442
0903,Congressional District 3,41.33929,-72.91666
0903,Congressional District 3,41.32371,-72.92778
0903,Congressional District 3,41.30203,-72.93256
0903,Congressional District 3,41.4214,-72.89508
0903,Congressional District 3,41.31491,-72.90556
0903,Congressional District 3,41.27063,-72.82023
0637,Congressional District 37,34.06191,-118.41691
0637,Congressional District 37,34.02977,-118.28418
0637,Congressional District 37,34.05979,-118.41671
3102,Congressional District 2,41.22316,-96.20896
3102,Congressional District 2,41.24319,-95.97348
3102,Congressional District 2,41.32424,-96.09702
3102,Congressional District 2,41.23968,-96.01353
3102,Congressional District 2,41.24288,-96.18276
3102,Congressional District 2,41.23008,-96.08541
