District,Population
Maryland 5,"805,367"
California 27,"748,971"
Florida 21,"859,087"
Pennsylvania 11,"781,923"
Georgia 11,"811,695"
Colorado 5,"745,409"
Florida 17,"877,095"
Texas 3,"920,628"
Oregon 3,"700,007"
New York 20,"790,733"
New Jersey 7,"789,429"
California 9,"784,710"
California 41,"824,187"
Ohio 7,"789,433"
Massachusetts 9,"797,381"
Pennsylvania 10,"792,599"
Connecticut 5,"728,034"
South Carolina 4,"810,387"
Nebraska 2,"682,617"
Pennsylvania 7,"788,445"
Florida 16,"882,786"
Indiana 1,"760,512"
Georgia 7,"815,698"
New Jersey 3,"795,627"
Oklahoma 1,"827,396"
North Carolina 4,"804,357"
Colorado 8,"757,119"
Nevada 1,"792,232"
Ohio 10,"791,001"
Michigan 6,"768,949"
Texas 12,"852,259"
Pennsylvania 6,"796,009"
Illinois 11,"766,584"
Pennsylvania 17,"753,416"
California 21,"775,200"
Florida 7,"813,213"
New York 17,"783,152"
Maryland 2,"783,097"
Michigan 3,"791,175"
California 28,"750,492"
Tennessee 9,"749,932"
Rhode Island 2,"556,563"
Massachusetts 3,"792,213"
Pennsylvania 4,"786,204"
Washington 10,"776,532"
New York 25,"768,525"
Pennsylvania 1,"768,164"
California 7,"764,481"
Florida 19,"826,915"
Massachusetts 4,"802,402"
New York 1,"782,097"
Connecticut 1,"734,950"
Florida 15,"835,404"
New Jersey 4,"795,125"
New Jersey 5,"794,119"
Texas 2,"882,070"
Ohio 13,"785,020"
Illinois 1,"735,259"
Ohio 1,"809,863"
Florida 5,"852,413"
California 14,"728,854"
Arizona 8,"815,902"
California 10,"773,816"
Georgia 13,"820,432"
Massachusetts 6,"796,651"
California 16,"751,938"
Texas 35,"873,155"
Georgia 6,"803,570"
Illinois 10,"749,775"
Maryland 3,"782,840"
California 49,"748,243"
California 8,"748,589"
Connecticut 3,"741,529"
Minnesota 3,"710,658"
Connecticut 4,"739,251"
New Jersey 12,"808,427"
Pennsylvania 12,"754,530"
Missouri 5,"776,496"
North Carolina 2,"790,747"
Arizona 5,"902,036"
New Jersey 11,"800,060"
California 40,"744,076"
New Jersey 1,"784,146"
Texas 30,"788,414"
Washington 1,"810,553"
Texas 16,"784,072"
Michigan 11,"787,210"
Kentucky 3,"763,950"
Texas 38,"810,804"
Colorado 6,"730,108"
Minnesota 4,"708,464"
California 32,"763,344"
Massachusetts 8,"784,982"
Illinois 8,"752,591"
California 39,"780,819"
Indiana 7,"757,121"
Maryland 8,"773,463"
North Carolina 12,"801,527"
Texas 24,"772,892"
Georgia 4,"759,754"
Florida 14,"826,751"
Rhode Island 1,"555,745"
New York 26,"760,693"
Florida 10,"802,532"
California 50,"759,815"
Virginia 3,"775,248"
California 6,"761,692"
Virginia 11,"792,747"
Florida 22,"804,159"
Missouri 1,"742,814"
New York 2,"777,625"
Texas 18,"825,192"
Pennsylvania 5,"768,273"
Florida 13,"762,930"
Michigan 10,"775,317"
Illinois 6,"764,465"
Georgia 5,"771,555"
Texas 37,"775,784"
Massachusetts 5,"790,877"
Texas 33,"790,618"
Ohio 3,"787,191"
Texas 9,"822,791"
Maryland 4,"763,420"
Ohio 11,"759,075"
Michigan 13,"784,609"
California 42,"722,218"
California 31,"724,696"
Arizona 3,"834,750"
Texas 29,"755,796"
Hawaii 1,"719,060"
Florida 25,"807,029"
New York 3,"775,796"
New Jersey 6,"786,792"
Michigan 12,"751,709"
California 51,"766,304"
California 33,"783,103"
Washington 9,"775,676"
Texas 20,"766,778"
California 17,"762,984"
California 30,"741,397"
Arizona 4,"793,264"
California 35,"764,929"
California 47,"756,257"
Illinois 9,"740,435"
Florida 23,"802,266"
Illinois 5,"773,710"
Colorado 1,"735,987"
Illinois 3,"732,771"
California 38,"722,610"
Texas 32,"765,626"
Virginia 8,"788,825"
Wisconsin 4,"722,345"
Washington 7,"811,726"
California 52,"756,396"
Minnesota 5,"705,006"
Texas 7,"770,214"
Maryland 7,"741,484"
California 29,"724,033"
New York 16,"773,517"
Florida 27,"788,713"
California 15,"723,474"
New York 4,"777,491"
New Jersey 9,"772,342"
California 45,"741,928"
Florida 24,"830,040"
California 36,"754,490"
Illinois 4,"712,078"
California 12,"756,336"
California 44,"742,823"
New Jersey 10,"800,200"
California 46,"763,396"
California 43,"719,690"
Illinois 7,"760,384"
New York 11,"759,734"
Pennsylvania 2,"738,540"
Massachusetts 7,"789,900"
Pennsylvania 3,"767,563"
California 37,"744,775"
New Jersey 8,"780,391"
California 34,"754,617"
New York 5,"766,680"
California 11,"729,775"
New York 14,"737,491"
New York 8,"739,447"
New York 6,"726,418"
New York 7,"777,946"
New York 15,"754,448"
New York 10,"757,254"
New York 9,"711,601"
New York 13,"747,542"
New York 12,"752,016"
District of Columbia at-large,"702,250"
