FIPS,name,state,account_name,raw_funding,econ_impact,jobs
01001,Autauga County,AL,BIO,58196.3702865868,153638.41755658918,0.808282920647039
01001,Autauga County,AL,CSE,41358.982541438294,109187.7139093971,0.5744303130755318
01001,Autauga County,AL,EDU,187123.65357107844,494006.4454276471,2.598939632931645
01001,Autauga County,AL,ENG,70293.55846426434,185574.99434565785,0.9762994231147825
01001,Autauga County,AL,GEO,19304.335088850898,50963.444634566375,0.2681157651229291
01001,Autauga County,AL,MPS,65098.61255695805,171860.33715036925,0.9041473966244173
01001,Autauga County,AL,OIA,80080.16159089911,211411.62659997365,1.1122244665402654
01001,Autauga County,AL,OISE,2266.9464780776593,5984.738702125021,0.0314853677510786
01001,Autauga County,AL,OPP,4938.247585725226,13036.973626314597,0.06858677202396146
01001,Autauga County,AL,SBE,7445.013065650501,19654.83449331732,0.10340295924514584
01001,Autauga County,AL,TIP,70025.49523829907,184867.30742910955,0.9725763227541538
01003,Baldwin County,AL,BIO,185966.9889650299,490952.85086767894,2.582874846736526
01003,Baldwin County,AL,CSE,58649.93343340564,154835.8242641909,0.8145824087973006
01003,Baldwin County,AL,EDU,337187.645338857,890175.3836945826,4.683161740817459
01003,Baldwin County,AL,ENG,90974.47026322283,240172.60149490827,1.2635343092114282
01003,Baldwin County,AL,GEO,70599.59972115992,186382.9432638622,0.980549996127221
01003,Baldwin County,AL,MPS,73819.8221223734,194884.33040306577,1.0252753072551861
01003,Baldwin County,AL,OIA,459988.1450852954,1214368.70302518,6.388724237295769
01003,Baldwin County,AL,OISE,73412.91248202602,193810.0889525487,1.0196237844725835
01003,Baldwin County,AL,OPP,8083.4381084106835,21340.276606204206,0.11226997372792616
01003,Baldwin County,AL,SBE,16913.354719093804,44651.256458407646,0.2349077044318584
01003,Baldwin County,AL,TIP,135447.78309390554,357582.14736791066,1.881219209637577
01005,Barbour County,AL,BIO,27150.078762147863,71676.20793207036,0.37708442725205366
01005,Barbour County,AL,CSE,15580.349326082081,41132.1222208567,0.21639374064002892
01005,Barbour County,AL,EDU,60619.88307274172,160036.49131203815,0.8419428204547461
01005,Barbour County,AL,ENG,33437.793384568984,88275.77453526213,0.46441379700790253
01005,Barbour County,AL,GEO,8973.66603228615,23690.478325235435,0.12463425044841875
01005,Barbour County,AL,MPS,25635.646479934047,67678.10670702589,0.35605064555463956
01005,Barbour County,AL,OIA,30742.326340978074,81159.74154018212,0.4269767547358066
01005,Barbour County,AL,OISE,1009.034720447471,2663.8516619813236,0.014014371117325987
01005,Barbour County,AL,OPP,2123.596506259376,5606.294776524753,0.02949439592026911
01005,Barbour County,AL,SBE,2413.3066594232328,6371.129580877335,0.033518148047544896
01005,Barbour County,AL,TIP,7100.5091581525485,18745.34417752273,0.09861818275211873
01007,Bibb County,AL,BIO,36024.71637388473,95105.25122705569,0.5003432829706213
01007,Bibb County,AL,CSE,23118.54667186791,61032.96321373128,0.3210909259981654
01007,Bibb County,AL,EDU,66765.81915573803,176261.76257114843,0.927303043829695
01007,Bibb County,AL,ENG,62067.58043564357,163858.41235009904,0.8620497282728273
01007,Bibb County,AL,GEO,11501.320731773996,30363.486731883353,0.15974056571908327
01007,Bibb County,AL,MPS,32857.663423133155,86744.23143707153,0.4563564364324049
01007,Bibb County,AL,OIA,102858.24949495752,271545.77866668784,1.4285867985410767
01007,Bibb County,AL,OISE,4005.086345788027,10573.42795288039,0.055626199247055926
01007,Bibb County,AL,OPP,10141.02088522351,26772.29513699007,0.14084751229477097
01007,Bibb County,AL,SBE,17316.542772261295,45715.67291876982,0.2405075385036291
01007,Bibb County,AL,TIP,71049.65792540328,187571.09692306467,0.98680080451949
01009,Blount County,AL,BIO,89135.12276385425,235316.72409657523,1.2379878161646423
01009,Blount County,AL,CSE,26604.01562778991,70234.60125736537,0.36950021705263764
01009,Blount County,AL,EDU,91792.1578649306,242331.29676341682,1.2748910814573695
01009,Blount County,AL,ENG,39571.94866892045,104469.94448594999,0.5496103981794507
01009,Blount County,AL,GEO,21252.195209963535,56105.79535430374,0.2951693779161602
01009,Blount County,AL,MPS,48730.86684115246,128649.4884606425,0.6768175950160065
01009,Blount County,AL,OIA,137497.90170069336,362994.46048983047,1.9096930791762967
01009,Blount County,AL,OISE,4304.711514265167,11364.438397660042,0.059787659920349547
01009,Blount County,AL,OPP,11758.756914792099,31043.11825505114,0.16331606826100137
01009,Blount County,AL,SBE,4088.343381163477,10793.22652627158,0.05678254696060384
01009,Blount County,AL,TIP,33502.47048765321,88446.52208740449,0.4653120901062946
01011,Bullock County,AL,BIO,8059.254437953786,21276.431716197996,0.1119340894160248
01011,Bullock County,AL,CSE,7153.464969863381,18885.14752043933,0.0993536801369914
01011,Bullock County,AL,EDU,50761.68146424303,134010.8390656016,0.7050233536700421
01011,Bullock County,AL,ENG,10781.78372456831,28463.909032860338,0.14974699617455986
01011,Bullock County,AL,GEO,2078.2919932175128,5486.690862094234,0.028865166572465455
01011,Bullock County,AL,MPS,13511.18016528008,35669.51563633941,0.18765528007333446
01011,Bullock County,AL,OIA,7590.915400958769,20040.016658531153,0.1054293805688718
