state,week,current_loss,current_econ_loss,current_job_loss,overall_loss,overall_econ_loss,overall_job_loss
AK,2025-02-28,0,0,0,0,0,0
AK,2025-03-07,0,0,0,0,0,0
AK,2025-03-14,0,0,0,0,0,0
AK,2025-03-21,0,0,0,0,0,0
AK,2025-03-28,0,0,0,0,0,0
AK,2025-04-04,0,0,0,0,0,0
AK,2025-04-11,0,0,0,0,0,0
AK,2025-04-18,819.5017992292594,3257.8967233163194,0.006392114033988224,819.5017992292594,3257.8967233163194,0.006392114033988224
AK,2025-04-25,1600.2606934178666,6361.772572605997,0.01248203340865936,1600.2606934178666,6361.772572605997,0.01248203340865936
AK,2025-05-02,10189.620107396742,40508.428402411584,0.07947903683769458,10189.620107396742,40508.428402411584,0.07947903683769458
AK,2025-05-09,10189.620107396742,40508.428402411584,0.07947903683769458,10189.620107396742,40508.428402411584,0.07947903683769458
AK,2025-05-16,2128432.202790438,8461497.3460626,16.601771181765418,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-05-23,2128432.202790438,8461497.3460626,16.601771181765418,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-05-30,2128432.202790438,8461497.3460626,16.601771181765418,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-06-06,2128432.202790438,8461497.3460626,16.601771181765418,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-06-13,2128410.350809573,8461410.47438407,16.60160073631467,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-06-20,2128410.350809573,8461410.47438407,16.60160073631467,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-06-27,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-07-04,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-07-11,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-07-18,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-07-25,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-08-01,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-08-08,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-08-15,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-08-22,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-08-29,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-09-05,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-09-12,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-09-19,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-09-26,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-10-03,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-10-10,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-10-17,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-10-24,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-10-31,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-11-07,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-11-14,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-11-21,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-11-28,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-12-05,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-12-12,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-12-19,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2025-12-26,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2026-01-02,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2026-01-09,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2026-01-16,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2026-01-23,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
AK,2026-01-30,2127368.1868014564,8457267.392928489,16.59347185705136,2128432.202790438,8461497.3460626,16.601771181765418
