CBSA_FIPS,CBSA_NAME,IDC_loss,IDC_econ_loss,IDC_job_loss
10100,"Aberdeen, SD",67708.09229433318,200780.4069345708,0.5899510390376947
10140,"Aberdeen, WA",601227.4514743059,1477127.3840985459,4.996970273633233
10180,"Abilene, TX",173471.49880124713,559775.0439970574,2.1315837005850145
10220,"Ada, OK",12451.472668639246,35565.38329329387,0.13333746958156464
10300,"Adrian, MI",1801128.295010978,4577447.660066777,18.039018453992753
10420,"Akron, OH",7259993.74700577,18851387.138937104,73.77012288656589
10460,"Alamogordo, NM",85489.51481912771,210990.99410253123,0.7349827350149086
10480,"Alamosa, CO",26834.762436107383,74746.07877079908,0.2665166746051288
10500,"Albany, GA",158976.33482895012,463725.88641619403,1.8505347458272292
10540,"Albany, OR",553915.4978993745,1379455.5264129164,5.1518497929336124
10580,"Albany-Schenectady-Troy, NY",10663889.125186672,24852431.350811604,78.55452085512445
10620,"Albemarle, NC",208219.62072476416,516619.88586760004,2.0739637054851663
10660,"Albert Lea, MN",628091.5861797367,1549675.1144167837,5.714469829021992
10700,"Albertville, AL",262865.5118471416,642378.7804125613,2.5072353314358806
10740,"Albuquerque, NM",17667609.829470694,41681352.51925831,143.51045012067183
10760,"Alexander City, AL",260515.4474969945,631859.4361870432,2.4662133417941825
10780,"Alexandria, LA",104003.06499578618,305306.44700585026,1.159895795047613
10820,"Alexandria, MN",43235.265546278206,106547.74405244805,0.3870429228057372
10860,"Alice, TX",33602.489891895435,107040.66881846968,0.4047978916161681
10900,"Allentown-Bethlehem-Easton, PA-NJ",4611537.498018472,11503040.8252867,40.007738893362095
10940,"Alma, MI",95074.3966362383,245004.0533364234,0.9524906860718544
10980,"Alpena, MI",29155.76752820299,74019.8332556795,0.2899022336506359
11020,"Altoona, PA",1090334.9165088653,2626019.962695235,9.70098212424606
11060,"Altus, OK",12097.84588442,34918.68036580726,0.13106136541486305
11100,"Amarillo, TX",287480.5402373243,925839.1270724628,3.5169871031585553
11140,"Americus, GA",29981.55916051368,83250.0819885901,0.32922303482263227
11180,"Ames, IA",1761646.183105485,4198739.839431609,14.297469414242476
11200,"Amherst Town-Northampton, MA",4948221.206118011,11109089.669981238,40.52056496809798
11220,"Amsterdam, NY",196983.24156312694,458154.94758670754,1.4463426800203196
11260,"Anchorage, AK",333742.6905518007,1126350.9922748515,2.7742372429177813
11360,"Anderson Creek, NC",1617858.6889880267,3978817.3048071745,16.158175732215906
11380,"Andrews, TX",10635.529229348916,34300.92063224551,0.13004958321601717
11420,"Angola, IN",34487.30151913186,93667.0539232476,0.34166511084492757
11460,"Ann Arbor, MI",71988585.00530739,182518351.61956495,719.8652470211315
11500,"Anniston-Oxford, AL",313808.12108562386,763662.024762797,2.9788606578327337
11540,"Appleton, WI",842522.2530061405,2003499.79687902,7.870118448978479
11580,"Arcadia, FL",20793.69591069099,65692.51680697664,0.23792151347808188
11620,"Ardmore, OK",16338.387524397735,46686.24725996606,0.17530567701446118
11660,"Arkadelphia, AR",37557.26856650801,101747.42765049459,0.3550822830597145
11680,"Arkansas City-Winfield, KS",41915.74560566323,117477.98219301697,0.3525193297905122
11700,"Asheville, NC",1205862.1080597965,2997069.9487971435,12.084359342015166
11740,"Ashland, OH",142491.92768431688,369557.4090085278,1.4463918454057338
11820,"Astoria, OR",117670.14047065793,294875.8966667201,1.110400128918227
11860,"Atchison, KS",80009.39477295885,220020.3285269266,0.683019107743857
11900,"Athens, OH",470693.78862009477,1221722.0534869835,4.754844643867259
11940,"Athens, TN",94137.24610246376,256299.06472961805,0.9892228858278933
11980,"Athens, TX",185982.51248388522,599559.0322312302,2.283152829996708
12020,"Athens-Clarke County, GA",7576793.002309431,21996136.601103824,89.35815203517294
12060,"Atlanta-Sandy Springs-Roswell, GA",96839936.3535472,280896898.46547633,1140.2861948085329
12100,"Atlantic City-Hammonton, NJ",1925981.7919713869,5151542.73241219,16.543560174453265
12140,"Auburn, IN",37674.23629195877,101090.95807007072,0.3698757583425152
12180,"Auburn, NY",1064686.5999713733,2486254.90938295,7.822540438257186
12220,"Auburn-Opelika, AL",2121217.092726059,5131836.121496154,19.961701341477735
12260,"Augusta-Richmond County, GA-SC",13838613.58025454,40160501.698363975,162.8754730781538
12300,"Augusta-Waterville, ME",431409.385378604,980159.1378364519,3.8096426767542453
12380,"Austin, MN",1777725.8095885834,4385270.100684825,16.174413075133494
12420,"Austin-Round Rock-San Marcos, TX",18148377.510955922,58320812.78350196,222.04665756240377
12460,"Bainbridge, GA",52904.14943999599,161995.86782365496,0.6079542588094523
12520,"Baker City, OR",21028.80878934505,54526.54282959539,0.18804468616111844
12540,"Bakersfield-Delano, CA",1183516.1580179522,3176722.4767607143,10.772695859219873
12580,"Baltimore-Columbia-Towson, MD",177576358.6599476,384508331.4064306,1547.7993135082852
12620,"Bangor, ME",2139441.1897461424,4911383.278905062,20.482174851980965
12660,"Baraboo, WI",1597537.8173116832,3722924.848819364,14.86180277922989
12700,"Barnstable Town, MA",4556627.090727827,10231187.319064494,37.309400084958206
12740,"Barre, VT",719562.149186119,1674331.144505237,5.567670917818129
12780,"Bartlesville, OK",38961.2967481348,110958.0269238491,0.41542808971971223
12860,"Batavia, NY",861105.6897710672,2003808.8712786494,6.328941648441186
12900,"Batesville, AR",32473.449712823724,88993.47111893255,0.31500608065217944
