state,week,current_loss,current_econ_loss,current_job_loss,overall_loss,overall_econ_loss,overall_job_loss
AK,2025-02-28,25534.065754518666,101509.66017747296,0.1991657128852456,25534.065754518666,101509.66017747296,0.1991657128852456
AK,2025-03-07,1215735.4199370723,4833107.681713023,9.482736275509163,1215735.4199370723,4833107.681713023,9.482736275509163
AK,2025-03-14,1423632.8036192248,5659595.440154955,11.104335868229953,1423632.8036192248,5659595.440154955,11.104335868229953
AK,2025-03-21,1492819.2672014695,5934643.467156761,11.643990284171462,1492819.2672014695,5934643.467156761,11.643990284171462
AK,2025-03-28,2347566.1709826654,9332655.698139675,18.31101613366479,2347566.1709826654,9332655.698139675,18.31101613366479
AK,2025-04-04,3325888.5932767484,13221937.475112472,25.94193102755864,3325888.5932767484,13221937.475112472,25.94193102755864
AK,2025-04-11,3325912.9671915625,13222034.37263885,25.942121144094187,3325912.9671915625,13222034.37263885,25.942121144094187
AK,2025-04-18,3326008.9106753916,13222415.792132843,25.942869503268053,3326008.9106753916,13222415.792132843,25.942869503268053
AK,2025-04-25,3323741.043357621,13213399.976047473,25.925180138189443,3326118.2405586606,13222850.428724,25.94372227635755
AK,2025-05-02,3324755.8203097223,13217434.181353986,25.933095398415833,3327133.017510762,13226884.634030513,25.95163753658394
AK,2025-05-09,3324786.247512714,13217555.143486125,25.93333273059917,3327163.4447137536,13227005.59616265,25.951874868767277
AK,2025-05-16,3317628.565346736,13189100.063464323,25.87750280970454,3327824.843076372,13229634.95897846,25.9570337759957
AK,2025-05-23,3317895.7013849854,13190162.05213172,25.879586470802884,3328091.9791146214,13230696.947645856,25.959117437094047
AK,2025-05-30,3239445.802687771,12878287.608231138,25.267677260964614,3328444.103788291,13232096.805244248,25.96186400954867
AK,2025-06-06,3239667.3419988365,12879168.32892789,25.269405267590923,3328665.6430993564,13232977.525941,25.963592016174978
AK,2025-06-13,3237869.5836352063,12872021.412243027,25.25538275235461,3329758.9549774467,13237323.94371402,25.972119848824082
AK,2025-06-20,3237896.8683815184,12872129.88166395,25.255595573375842,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-06-27,2641810.1637424473,10502410.957700035,20.606119277191087,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-07-04,2641363.3812034526,10500634.791532744,20.60263437338693,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-07-11,1651621.6839106074,6565956.14217223,12.882649134502737,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-07-18,1631505.6959560732,6485985.834230279,12.725744428457372,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-07-25,1370497.1896007522,5448356.92552937,10.689878078885867,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-08-01,1171626.781411844,4657755.5481894165,9.138688895012384,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-08-08,1164336.1022177367,4628771.743785849,9.081821597298346,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-08-15,1161375.4207558136,4617001.672697958,9.058728281895347,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-08-22,1150603.219055428,4574177.2144044,8.974705108632337,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-08-29,1020230.8884401766,4055887.2129400885,7.957800929833377,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-09-05,1017470.8001386168,4044914.5919621084,7.936272241081211,3329786.239723759,13237432.413134942,25.97233266984532
AK,2025-09-12,988965.9990224851,3931594.8918194496,7.713934792375384,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-09-19,981297.1637018612,3901107.7428147607,7.654117876874517,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-09-26,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-10-03,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-10-10,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-10-17,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-10-24,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-10-31,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-11-07,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-11-14,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-11-21,957388.7064141661,3806060.6242722673,7.467631910030495,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-11-28,953320.0309131693,3789885.7670658506,7.4358962411227205,3329787.5840928955,13237437.757620836,25.972343155924584
AK,2025-12-05,953334.5595093564,3789943.524920631,7.43600956417298,3329802.1126890825,13237495.515475616,25.972456478974845
AK,2025-12-12,953334.5595093564,3789943.524920631,7.43600956417298,3329802.1126890825,13237495.515475616,25.972456478974845
AK,2025-12-19,953334.5595093564,3789943.524920631,7.43600956417298,3329802.1126890825,13237495.515475616,25.972456478974845
AK,2025-12-26,953334.5595093564,3789943.524920631,7.43600956417298,3329802.1126890825,13237495.515475616,25.972456478974845
AK,2026-01-02,953334.5595093564,3789943.524920631,7.43600956417298,3329802.1126890825,13237495.515475616,25.972456478974845
