"CBSA_FIPS","CBSA_NAME","state_name","state","raw_funding","econ_impact","jobs"
"05071","Johnson County, AR","Arkansas","AR",202461.033427702,568582.992757138,1.78328193038186
"05073","Lafayette County, AR","Arkansas","AR",86407.4658620422,242771.686377302,0.809211687355613
"05075","Lawrence County, AR","Arkansas","AR",118716.264118429,326014.766149551,1.09323432764651
"05077","Lee County, AR","Arkansas","AR",111124.596793431,302673.460078997,1.07441243415948
"05079","Lincoln County, AR","Arkansas","AR",91632.5203050381,260389.126582054,0.831159295601323
"05083","Logan County, AR","Arkansas","AR",56939.8039904875,159718.830914384,0.503491979944986
"05089","Marion County, AR","Arkansas","AR",95119.188386797,262623.355523434,0.860934630354631
"05095","Monroe County, AR","Arkansas","AR",84973.1279827108,238804.249243688,0.747978871358801
"05097","Montgomery County, AR","Arkansas","AR",92694.7773930952,263980.80717597,0.841647475708464
"05099","Nevada County, AR","Arkansas","AR",29141.2465147248,82533.9912841253,0.2613800839252
"05107","Phillips County, AR","Arkansas","AR",105774.742815991,292812.447067688,0.989979323571781
"05109","Pike County, AR","Arkansas","AR",52509.1675887663,145776.788028317,0.482177725558964
"05113","Polk County, AR","Arkansas","AR",54783.8523387713,159575.739144159,0.520545001449205
"05117","Prairie County, AR","Arkansas","AR",125329.66772112,351779.045336791,1.1028989418918
"05121","Randolph County, AR","Arkansas","AR",143898.841743327,398061.538956519,1.32857418951309
"05127","Scott County, AR","Arkansas","AR",25480.3079978546,71669.9449096396,0.225196457516682
"05129","Searcy County, AR","Arkansas","AR",45747.9749224426,128040.393713126,0.402738336427204
"05133","Sevier County, AR","Arkansas","AR",25415.7987399961,76830.6874871662,0.260326324257465
"05135","Sharp County, AR","Arkansas","AR",85043.1319086193,237339.236338991,0.773587573658034
"05137","Stone County, AR","Arkansas","AR",37134.8905240917,104124.44887969,0.327287644722308
"05141","Van Buren County, AR","Arkansas","AR",84267.9589257189,235684.0684354,0.781183661125176
"05147","Woodruff County, AR","Arkansas","AR",52322.6117363157,145321.868260959,0.477061154113196
"06005","Amador County, CA","California","CA",3509385.47168855,9480076.60688468,30.8798522402151
"06009","Calaveras County, CA","California","CA",1845759.19058028,5004195.14408163,16.2452085662453
"06011","Colusa County, CA","California","CA",925021.820998765,2484361.93560988,8.15191670084551
"06021","Glenn County, CA","California","CA",152080.437077566,420452.106313947,1.33631978963265
"06043","Mariposa County, CA","California","CA",923640.406845362,2481550.38245639,8.12771912229313
"06049","Modoc County, CA","California","CA",25363.3206995771,68120.335459994,0.222684419448599
"06051","Mono County, CA","California","CA",326805.270705344,890646.391727121,2.87874013652877
"06063","Plumas County, CA","California","CA",315687.506352976,980027.288084999,2.77295332377441
"06091","Sierra County, CA","California","CA",17013.0471042509,48666.1948905723,0.161027551023047
"06093","Siskiyou County, CA","California","CA",383866.465005862,1038234.45118156,3.37512572339599
"06105","Trinity County, CA","California","CA",33209.6178262112,89104.4365434306,0.292300602798696
"08007","Archuleta County, CO","Colorado","CO",78011.3351323949,221674.374561269,0.76330528083947
"08009","Baca County, CO","Colorado","CO",47218.7732138591,132634.426725192,0.455002369434315
"08011","Bent County, CO","Colorado","CO",18046.3855955363,52392.0545596461,0.181406708013058
"08015","Chaffee County, CO","Colorado","CO",362426.5827881,1012934.32299173,3.46722846377961
"08017","Cheyenne County, CO","Colorado","CO",3727.02165015459,10436.7995707511,0.0357652769785412
"08025","Crowley County, CO","Colorado","CO",19761.6675554824,55317.3379168769,0.186780896027905
"08027","Custer County, CO","Colorado","CO",39879.9965991499,111679.156665644,0.382909556946244
"08029","Delta County, CO","Colorado","CO",99530.464421997,272930.39004352,0.951561216565587
"08033","Dolores County, CO","Colorado","CO",17111.2250911602,47784.6870300671,0.163333507478885
"08049","Grand County, CO","Colorado","CO",274788.149944416,769577.421456731,2.63721482366083
"08051","Gunnison County, CO","Colorado","CO",93548.1039519649,261947.762799447,0.898090055491087
"08053","Hinsdale County, CO","Colorado","CO",1896.13973447989,5310.8272701196,0.0182029414510069
"08055","Huerfano County, CO","Colorado","CO",13042.9842160249,33406.500754296,0.114117475518604
"08057","Jackson County, CO","Colorado","CO",16987.6813533594,47905.4842338428,0.162551477866468
"08061","Kiowa County, CO","Colorado","CO",20130.493620519,56382.8357248649,0.193253068450033
"08063","Kit Carson County, CO","Colorado","CO",25994.9477511225,72802.9198313102,0.249531092749828
"08071","Las Animas County, CO","Colorado","CO",95936.6767427257,267138.399596508,0.939758935519509
"08073","Lincoln County, CO","Colorado","CO",71264.0459903986,198919.214838261,0.705463455661973
"08079","Mineral County, CO","Colorado","CO",21162.1663986552,59272.3249036364,0.20315679742709
"08083","Montezuma County, CO","Colorado","CO",46555.2295291098,130652.841483134,0.452716890166216
"08089","Otero County, CO","Colorado","CO",29233.3730402972,81848.0834401585,0.288992808423253
"08091","Ouray County, CO","Colorado","CO",13724.8840608709,38442.9178409988,0.13176372087677
"08095","Phillips County, CO","Colorado","CO",34643.7930497573,97037.195800567,0.332667146484703
"08099","Prowers County, CO","Colorado","CO",119546.503178434,336708.590879307,1.15616539550367
"08103","Rio Blanco County, CO","Colorado","CO",35298.069217518,112178.587980492,0.334947072531433
"08105","Rio Grande County, CO","Colorado","CO",68886.0070654225,194160.12961898,0.666798930798368
"08109","Saguache County, CO","Colorado","CO",25046.8946464696,70130.6148045727,0.240213781277539
"08111","San Juan County, CO","Colorado","CO",14371.8166908063,40253.4869212213,0.137969440231741
"08113","San Miguel County, CO","Colorado","CO",35921.5431534978,104928.437063997,0.365237087731924
"08115","Sedgwick County, CO","Colorado","CO",8597.15844517016,24455.7847344204,0.0819560280878652
"08121","Washington County, CO","Colorado","CO",99373.7937266092,276736.331975374,0.950657175112311
"08125","Yuma County, CO","Colorado","CO",11632.0958452959,32939.8378957359,0.11300854726557
"10100","Brown County, SD","South Dakota","SD",319695.943544694,931548.232618442,2.73071257139789
"10100","Edmunds County, SD","South Dakota","SD",40607.9388511633,136752.533160241,0.330669453720144
"10140","Grays Harbor County, WA","Washington","WA",3986757.27668397,9653488.04740052,31.151749203644
"10180","Callahan County, TX","Texas","TX",101283.429889838,329835.835423951,1.19412218158565
"10180","Jones County, TX","Texas","TX",127046.663484079,413223.372337606,1.49712384291503
"10180","Taylor County, TX","Texas","TX",730063.355324423,2375505.47141959,8.6020994190784
"10220","Pontotoc County, OK","Oklahoma","OK",79355.5132513237,223958.793791617,0.834607475253456
"10300","Lenawee County, MI","Michigan","MI",9580953.66083269,24477949.5055854,93.1006707039763
"10380","Aguadilla Municipio, PR","Puerto Rico","PR",153708.733200804,395031.444326066,1.36800772548716
"10380","Rincón Municipio, PR","Puerto Rico","PR",29452.9521971886,75694.0871467747,0.262131274554979
"10420","Portage County, OH","Ohio","OH",11166552.8707964,28996006.4538096,109.599988745682
"10420","Summit County, OH","Ohio","OH",25925231.3623751,67618187.3831585,256.023142675597
"10460","Otero County, NM","New Mexico","NM",807006.092472026,1934175.40528726,6.52537897135217
"10480","Alamosa County, CO","Colorado","CO",62316.0272284063,170678.714813666,0.586699083216038
"10480","Conejos County, CO","Colorado","CO",52166.1204447611,146019.708235977,0.502874604376731
"10480","Costilla County, CO","Colorado","CO",41891.4297831508,117310.245554145,0.402074384410975
"10500","Dougherty County, GA","Georgia","GA",463431.446157985,1359367.21413278,5.3056751476858
"10500","Lee County, GA","Georgia","GA",92824.267189595,272026.579922456,1.07012280236607
"10500","Terrell County, GA","Georgia","GA",30634.3875027147,93095.5065440245,0.354145379132793
"10500","Worth County, GA","Georgia","GA",301797.422842606,893437.431092676,3.54585433397228
"10540","Linn County, OR","Oregon","OR",4556668.86296078,11087603.3865533,40.1133031651634
"10580","Albany County, NY","New York","NY",26133735.7972217,61580086.6954904,186.983581818701
"10580","Rensselaer County, NY","New York","NY",14828107.955085,34959107.686314,106.029923828415
"10580","Saratoga County, NY","New York","NY",12052489.9274637,28416954.0403134,86.2777604868173
"10580","Schenectady County, NY","New York","NY",10400579.9393035,24521508.1338615,74.5353414393217
"10580","Schoharie County, NY","New York","NY",577543.391981688,1355604.82627612,4.14958042556201
"10620","Stanly County, NC","North Carolina","NC",1770457.98650255,4451180.81469601,17.1545090241217
"10660","Freeborn County, MN","Minnesota","MN",2969319.45822089,7342115.14993172,27.0107289866345
"10700","Marshall County, AL","Alabama","AL",1926508.32150334,4789932.07403739,17.9072639399592
"10740","Bernalillo County, NM","New Mexico","NM",83669742.4278617,195118477.652479,654.193729636709
"10740","Sandoval County, NM","New Mexico","NM",9141277.83853828,21385858.4422431,71.7844710174539
"10740","Torrance County, NM","New Mexico","NM",350191.24013915,820214.397316351,2.75033211415014
"10740","Valencia County, NM","New Mexico","NM",4746946.2798163,11143184.5022716,37.5466138167401
"10760","Tallapoosa County, AL","Alabama","AL",1607465.54970848,3982711.29437455,14.8877089977444
"10780","Grant Parish, LA","Louisiana","LA",53151.6524678263,152747.032149471,0.534632934978918
"10780","Rapides Parish, LA","Louisiana","LA",709575.999816228,2077406.66219312,7.39724381087338
