GEOID,state,account_name,raw_funding,econ_impact,jobs
0098,NA,BIO,0,0,0
0098,NA,CSE,0,0,0
0098,NA,EDU,0,0,0
0098,NA,ENG,0,0,0
0098,NA,GEO,0,0,0
0098,NA,MPS,0,0,0
0098,NA,OIA,0,0,0
0098,NA,OISE,0,0,0
0098,NA,OPP,0,0,0
0098,NA,SBE,0,0,0
0098,NA,TIP,0,0,0
0101,AL,BIO,919444.3843706694,2427333.1747385673,12.770060894037075
0101,AL,CSE,217063.596398335,573047.8944916044,3.0147721721990974
0101,AL,EDU,1098243.2864080973,2899362.276117377,15.25337897789024
0101,AL,ENG,343698.9902866289,907365.3343567003,4.7735970873142906
0101,AL,GEO,528010.9157114452,1393948.8174782153,7.333484940436739
0101,AL,MPS,291520.7895522736,769614.8844180023,4.048899854892689
0101,AL,OIA,1308838.1235137973,3455332.646076425,18.178307271024963
0101,AL,OISE,201336.37562162333,531528.0316410856,2.796338550300324
0101,AL,OPP,25166.937584003983,66440.71522177052,0.3495407997778331
0101,AL,SBE,50282.34101662953,132745.38028390196,0.6983658474531879
0101,AL,TIP,321864.07372828195,849721.1546426644,4.470334357337249
0102,AL,BIO,1253793.7753873095,3310015.5670224973,17.413802435934855
0102,AL,CSE,595942.4573901617,1573288.087510027,8.276978574863357
0102,AL,EDU,4637551.313400203,12243135.467376538,64.41043490833616
0102,AL,ENG,992700.1856624406,2620728.4901488433,13.78750257864501
0102,AL,GEO,361841.83591583965,955262.4468178167,5.025581054386662
0102,AL,MPS,956993.0748639962,2526461.7176409503,13.29157048422217
0102,AL,OIA,2173235.1971177743,5737340.920390924,30.18382218219131
0102,AL,OISE,339538.6014561265,896381.907844174,4.7158139091128675
0102,AL,OPP,43623.51989288198,115166.09251720844,0.605882220734472
0102,AL,SBE,170755.89974085666,450795.5753158616,2.3716097186230094
0102,AL,TIP,563643.2796781452,1488018.2583503034,7.828378884418683
0103,AL,BIO,2849164.777077478,7521795.011484542,39.57173301496497
0103,AL,CSE,1587994.21882436,4192304.737696311,22.055475261449445
0103,AL,EDU,5443745.982104532,14371489.392755967,75.60758308478518
0103,AL,ENG,3426953.7100407723,9047157.79450764,47.59657930612184
0103,AL,GEO,877717.2940046828,2317173.6561723626,12.19051797228726
0103,AL,MPS,2664929.275253696,7035413.286669757,37.01290660074578
0103,AL,OIA,2747292.2121229125,7252851.440004489,38.1568362794849
0103,AL,OISE,76131.82529055508,200988.0187670654,1.0573864623688205
0103,AL,OPP,329785.56286371837,870633.8859602165,4.580355039773866
0103,AL,SBE,236053.89200695365,623182.2748983577,3.2785262778743562
0103,AL,TIP,885732.8036591139,2338334.6016600607,12.301844495265472
0104,AL,BIO,1437104.9049417176,3793956.949046135,19.959790346412746
0104,AL,CSE,979709.0555009657,2586431.9065225497,13.60707021529119
0104,AL,EDU,2822148.0040257704,7450470.730628034,39.196500055913475
0104,AL,ENG,2490005.0391135314,6573613.303259723,34.58340332102127
0104,AL,GEO,634338.6736764736,1674654.0985058902,8.810259356617689
0104,AL,MPS,1313570.3537912758,3467825.7340089683,18.244032691545495
0104,AL,OIA,5038421.085792369,13301431.666491855,69.97807063600513
0104,AL,OISE,162271.19102060256,428395.9442943908,2.2537665419528135
0104,AL,OPP,392334.8791929156,1035764.0810692973,5.449095544346051
0104,AL,SBE,679794.084848982,1794656.3840013128,9.441584511791417
0104,AL,TIP,2857912.9038745645,7544890.066228851,39.69323477603562
0105,AL,BIO,989736.9378121352,2612905.515824037,13.746346358501878
0105,AL,CSE,961346.190278091,2537953.94233416,13.352030420529042
0105,AL,EDU,3324943.765406352,8777851.54067277,46.179774519532664
0105,AL,ENG,1016885.30792666,2684577.2129263827,14.123407054536946
0105,AL,GEO,1887696.7232649548,4983519.349419481,26.218010045346595
0105,AL,MPS,568077.1837657718,1499723.7651416375,7.88996088563572
0105,AL,OIA,11890993.290659364,31392222.287340723,165.15268459249117
0105,AL,OISE,10566.574417639611,27895.756462568574,0.14675797802277238
0105,AL,OPP,25207.34422918867,66547.3887650581,0.35010200318317597
0105,AL,SBE,48904.92463904788,129109.0010470864,0.6792350644312205
0105,AL,TIP,1510182.1970387418,3986881.0001822785,20.97475273664919
0106,AL,BIO,1534895.4265683298,4052123.926140391,21.317992035671246
0106,AL,CSE,486578.2528879693,1284566.587624239,6.758031290110685
0106,AL,EDU,1633030.4732749816,4311200.449445952,22.680978795485856
0106,AL,ENG,753321.5534456235,1988768.9010964462,10.462799353411437
0106,AL,GEO,258173.89073471093,681579.0715396369,3.5857484824265407
0106,AL,MPS,919774.5623337685,2428204.844561149,12.774646699080117
0106,AL,OIA,1845213.9721881547,4871364.886576729,25.627971835946592
0106,AL,OISE,83950.73878985237,221629.9504052103,1.1659824831923942
0106,AL,OPP,213425.2295255105,563442.6059473478,2.9642392989654236
0106,AL,SBE,108786.02083117356,287195.09499429824,1.5109169559885216
0106,AL,TIP,739659.0835677027,1952699.980618735,10.273042827329204
0107,AL,BIO,2446356.6133374674,6458381.459210915,33.9771751852426
0107,AL,CSE,1145164.3038176137,3023233.7620785004,15.905059775244636
0107,AL,EDU,3511127.9004442664,9269377.657172864,48.765665283948145
0107,AL,ENG,2675672.890391035,7063776.430632332,37.16212347765327
0107,AL,GEO,589432.5167728377,1556101.8442802916,8.18656273295608
0107,AL,MPS,1767674.5299109758,4666660.758964976,24.55103513765244
0107,AL,OIA,5158868.265414795,13619412.22069506,71.65094813076104
0107,AL,OISE,224805.98615345784,593487.8034451287,3.1223053632424698
0107,AL,OPP,537208.8083160708,1418231.253954427,7.461233448834317
0107,AL,SBE,726573.0110820165,1918152.7492565238,10.091291820583562
0107,AL,TIP,3193743.044562421,8431481.637644792,44.357542285589176
0198,AL,BIO,11430496.819495143,30176511.60346718,158.75690027076587
0198,AL,CSE,5973798.075097488,15770826.91825737,82.96941770968733
0198,AL,EDU,22470790.725064166,59322887.5141694,312.09431562589117
0198,AL,ENG,11699237.676866971,30885987.466928806,162.48941217870794
0198,AL,GEO,5137211.850080866,13562239.284213487,71.35016458445648
0198,AL,MPS,8482539.769471746,22393904.99140541,117.81305235377425
0198,AL,OIA,30162862.14680913,79629956.06757611,418.9286409279046
0198,AL,OISE,1098601.292749848,2900307.4128595986,15.258351288192333
0198,AL,OPP,1566752.2816043077,4136226.0234353724,21.760448355615384
0198,AL,SBE,2021150.174165664,5335836.4597973535,28.071530196745332
0198,AL,TIP,10072737.386109166,26592026.6993282,139.8991303626273
0200,AK,BIO,2158506.5537472004,5698457.301892609,29.979257690933338
0200,AK,CSE,508153.6455242517,1341525.6241840245,7.057689521170162
0200,AK,EDU,3224125.523442621,8511691.38188852,44.77952115892529
0200,AK,ENG,233708.04203224127,616989.230965117,3.2459450282255733
0200,AK,GEO,29251441.10115169,77223804.50704047,406.2700152937735
