"GEOID","inst_name","budg_CHE_cuts","budg_CBET_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CHE_cuts","econ_budg_CBET_cuts","econ_budg_NSF_cuts","jobs_budg_CHE_cuts","jobs_budg_CBET_cuts","jobs_budg_NSF_cuts"
"0103","Auburn University",443441.221340911,968952.795330478,1412394.01667139,"Alabama","Mike Rogers","Republican","AL","01",1170684.82434,2558035.37967246,3728720.20401247,6.1589058519571,13.4576777129233,19.6165835648804
"0107","University of Alabama Tuscaloosa",184981.241581653,661430.203871583,846411.445453236,"Alabama","Terri A. Sewell","Democrat","AL","01",488350.477775563,1746175.73822098,2234526.21599654,2.56918391085629,9.18653060932754,11.7557145201838
"0104","University of Alabama Tuscaloosa",172989.354196359,618551.280310253,791540.634506612,"Alabama","Robert B. Aderholt","Republican","AL","01",456691.895078389,1632975.38001907,2089667.27509746,2.40262991939388,8.59099000430907,10.993619923703
"0105","University of Alabama in Huntsville",77959.5322804759,357824.594846913,435784.127127389,"Alabama","Dale W. Strong","Republican","AL","01",205813.165220456,944656.930395852,1150470.09561631,1.08277128167328,4.96978603954047,6.05255732121374
"0102","Auburn University",51020.1650012798,111482.940956016,162503.105957296,"Alabama","Shomari Figures","Democrat","AL","01",134693.235603379,294314.964123882,429008.19972726,0.708613402795553,1.54837417994466,2.25698758274022
"0200","University of Alaska Anchorage Campus",121552.489709878,0,121552.489709878,"Alaska","Nicholas J. Begich III","Republican","AK","02",320898.572834078,0,320898.572834078,1.68822902374831,0,1.68822902374831
"0200","Oregon State University",973.965740943184,4726.73727153165,5700.70301247483,"Alaska","Nicholas J. Begich III","Republican","AK","02",2571.26955609001,12478.5863968436,15049.8559529336,0.0135273019575442,0.0656491287712729,0.0791764307288171
"0200","University of California-San Diego",1004.3328098564,451.457861220757,1455.79067107716,"Alaska","Nicholas J. Begich III","Republican","AK","02",2651.4386180209,1191.8487536228,3843.2873716437,0.0139490668035611,0.00627024807251051,0.0202193148760716
"0200","University of New Mexico",183.04638250404,812.91305930039,995.95944180443,"Alaska","Nicholas J. Begich III","Republican","AK","02",483.242449810665,2146.09047655303,2629.33292636369,0.00254231086811166,0.0112904591569499,0.0138327700250615
"0200","University of Arizona",432.952266732875,308.180890826246,741.133157559122,"Alaska","Nicholas J. Begich III","Republican","AK","02",1142.99398417479,813.597551781291,1956.59153595608,0.00601322592684549,0.00428029015036453,0.01029351607721
"0406","University of Arizona",724220.904177417,515509.585129604,1239730.48930702,"Arizona","Juan Ciscomani","Republican","AZ","04",1911943.18702838,1360945.30474215,3272888.49177054,10.0586236691308,7.15985534902227,17.2184790181531
"0401","Arizona State University",224673.242566798,985431.912271268,1210105.15483807,"Arizona","David Schweikert","Republican","AZ","04",593137.360376346,2601540.24839615,3194677.60877249,3.12046170231663,13.6865543371009,16.8070160394176
"0404","Arizona State University",185235.91807369,812457.161713013,997693.079786703,"Arizona","Greg Stanton","Democrat","AZ","04",489022.82371454,2144886.90692236,2633909.7306369,2.5727210843568,11.2841272460141,13.8568483303709
"0407","University of Arizona",488586.63300805,347782.135297419,836368.768305469,"Arizona","Adelita S. Grijalva","Democrat","AZ","04",1289868.71114125,918144.837185186,2208013.54832644,6.78592545844514,4.83030743468638,11.6162328931315
"0405","Arizona State University",92418.7806303139,405354.971005202,497773.751635516,"Arizona","Andy Biggs","Republican","AZ","04",243985.580864029,1070137.12345373,1314122.70431776,1.28359417542103,5.62993015285003,6.91352432827106
"0503","University of Arkansas",346801.001734968,667653.795836085,1014454.79757105,"Arkansas","Steve Womack","Republican","AR","05",915554.644580316,1762606.02100726,2678160.66558758,4.81668057965234,9.27296938661229,14.0896499662646
