org_name,org_city,org_state,lat,lon,week,current_loss,current_grant_loss,current_econ_loss,current_job_loss,overall_loss,overall_grant_loss,overall_econ_loss,overall_job_loss
"Cal Poly Pomona Foundation, Inc.",Pomona,CA,34.06154,-117.81844,2025-02-28,0,0,0,0,0,0,0,0
California Polytechnic State University,San Luis Obispo,CA,35.29932,-120.65662,2025-02-28,0,0,0,0,0,0,0,0
California State University - Dominguez Hills,Carson,CA,33.86714,-118.25534,2025-02-28,0,0,0,0,0,0,0,0
California State University Channel Islands,Camarillo,CA,34.16195,-119.04353,2025-02-28,0,0,0,0,0,0,0,0
California State University Fresno,Fresno,CA,36.80696,-119.73594,2025-02-28,0,0,0,0,0,0,0,0
California State University Long Beach,Long Beach,CA,33.7811,-118.1099,2025-02-28,0,0,0,0,0,0,0,0
California State University Northridge,Northridge,CA,34.24588,-118.50188,2025-02-28,0,0,0,0,0,0,0,0
California State University San Marcos,San Marcos,CA,33.13799,-117.15109,2025-02-28,0,0,0,0,0,0,0,0
"California State University, East Bay Foundation, Inc.",Hayward,CA,37.65755,-122.06172,2025-02-28,0,0,0,0,0,0,0,0
Carleton College,Northfield,MN,44.4613,-93.15608,2025-02-28,0,0,0,0,0,0,0,0
Carnegie Mellon University,Pittsburgh,PA,40.44296,-79.94108,2025-02-28,0,0,0,0,0,0,0,0
Case Western Reserve University,Cleveland,OH,41.50274,-81.60733,2025-02-28,0,0,0,0,0,0,0,0
Central Michigan University,Mount Pleasant,MI,43.6014,-84.78711,2025-02-28,0,0,0,0,0,0,0,0
Central State University,Wilberforce,OH,39.71698,-83.877440000000007,2025-02-28,0,0,0,0,0,0,0,0
Central Washington University,Ellensburg,WA,47.00259,-120.53815,2025-02-28,0,0,0,0,0,0,0,0
Chaminade University of Honolulu,Honolulu,HI,21.2901,-157.80775,2025-02-28,0,0,0,0,0,0,0,0
ChangeAerial LLC,San Diego,CA,32.77327,-117.19811,2025-02-28,0,0,0,0,0,0,0,0
Chapman University,Orange,CA,33.79277,-117.85425,2025-02-28,0,0,0,0,0,0,0,0
Chicago Children's Museum,Chicago,IL,41.89107,-87.61091,2025-02-28,0,0,0,0,0,0,0,0
Chicago State University,Chicago,IL,41.71798,-87.60944,2025-02-28,0,0,0,0,0,0,0,0
Chico State Enterprises,Chico,CA,39.73179,-121.84154,2025-02-28,0,0,0,0,0,0,0,0
Child Trends Inc.,Rockville,MD,39.0591,-77.12012,2025-02-28,0,0,0,0,0,0,0,0
Children's Museum of Pittsburgh,Pittsburgh,PA,40.45284,-80.00642,2025-02-28,0,0,0,0,0,0,0,0
Christopher Newport University,Newport News,VA,37.06253,-76.49431,2025-02-28,0,0,0,0,0,0,0,0
City College of San Francisco,San Francisco,CA,37.72592,-122.44849,2025-02-28,0,0,0,0,0,0,0,0
City Colleges of Chicago Harry S Truman College,Chicago,IL,41.96355,-87.65796,2025-02-28,0,0,0,0,0,0,0,0
Claremont Graduate University,Claremont,CA,34.10328,-117.71447,2025-02-28,0,0,0,0,0,0,0,0
Clark Atlanta University,Atlanta,GA,33.74987,-84.41235,2025-02-28,0,0,0,0,0,0,0,0
Clarkson University,Potsdam,NY,44.66592,-74.99257,2025-02-28,0,0,0,0,0,0,0,0
Claudius Legal Intelligence Inc.,Miami,FL,25.72945,-80.30635,2025-02-28,0,0,0,0,0,0,0,0
Clemson University,Clemson,SC,34.67315,-82.82396,2025-02-28,0,0,0,0,0,0,0,0
Cleveland State University,Cleveland,OH,41.50276,-81.67442,2025-02-28,0,0,0,0,0,0,0,0
Coastal and Estuarine Research Federation,Seattle,WA,47.70744,-122.33171,2025-02-28,0,0,0,0,0,0,0,0
Coeur D' Alene Tribe,Plummer,ID,47.33766,-116.88673,2025-02-28,0,0,0,0,0,0,0,0
College of William and Mary,Williamsburg,VA,37.28078,-76.72405,2025-02-28,0,0,0,0,0,0,0,0
Colorado School of Mines,Golden,CO,39.75113,-105.22231,2025-02-28,0,0,0,0,0,0,0,0
Colorado State University,Fort Collins,CO,40.57951,-105.08127,2025-02-28,0,0,0,0,0,0,0,0
Colorado State University-Pueblo,Pueblo,CO,38.31162,-104.57813,2025-02-28,0,0,0,0,0,0,0,0
Columbia University,New York,NY,40.81207,-73.95438,2025-02-28,0,0,0,0,0,0,0,0
Columbus State Community College,Columbus,OH,39.96943,-82.98683,2025-02-28,0,0,0,0,0,0,0,0
Columbus State University,Columbus,GA,32.4989,-84.9445,2025-02-28,0,0,0,0,0,0,0,0
Concord Consortium,Concord,MA,42.45661,-71.35818,2025-02-28,0,0,0,0,0,0,0,0
Cornell University,Ithaca,NY,42.438,-76.4625,2025-02-28,0,0,0,0,0,0,0,0
Cosmic Picture Distribution LLC,Somers,NY,41.33344,-73.66654,2025-02-28,0,0,0,0,0,0,0,0
Council of Graduate Schools,Washington,DC,38.90908,-77.04448,2025-02-28,0,0,0,0,0,0,0,0
Crow Canyon Archaeological Center,Cortez,CO,37.3566,-108.62768,2025-02-28,0,0,0,0,0,0,0,0
Cuesta College,San Luis Obispo,CA,35.33133,-120.74226,2025-02-28,0,0,0,0,0,0,0,0
Dartmouth College,Hanover,NH,43.71139,-72.27061,2025-02-28,0,0,0,0,0,0,0,0
David Lipscomb University,Nashville,TN,36.10362,-86.79896,2025-02-28,0,0,0,0,0,0,0,0
Delaware State University,Dover,DE,39.18938,-75.54117,2025-02-28,0,0,0,0,0,0,0,0
Donald Danforth Plant Science Center,Saint Louis,MO,38.67428,-90.39701,2025-02-28,0,0,0,0,0,0,0,0
