"CBSA_FIPS","CBSA_NAME","budg_CBET_cuts","budg_CHE_cuts","budg_NSF_cuts","econ_budg_CBET_cuts","econ_budg_CHE_cuts","econ_budg_NSF_cuts","jobs_budg_CBET_cuts","jobs_budg_CHE_cuts","jobs_budg_NSF_cuts"
"01011","Bullock County, AL",2888.00424881531,1200.78264854806,4088.78689736336,7624.33121687241,3170.06619216687,10794.3974090393,0.0401111701224348,0.0166775367853897,0.0567887069078245
"01013","Butler County, AL",6428.64804184625,1918.83941218645,8347.4874540327,16971.6308304741,5065.73604817223,22037.3668786463,0.0892867783589756,0.0266505473914785,0.115937325750454
"01019","Cherokee County, AL",1520.24909631363,783.637716203857,2303.88681251749,4013.457614268,2068.80357077818,6082.26118504618,0.0211145707821338,0.010883857169498,0.0319984279516318
"01023","Choctaw County, AL",902.694733660722,643.045359362761,1545.74009302348,2383.11409686431,1697.63974871769,4080.753845582,0.0125374268563989,0.00893118554670501,0.0214686124031039
"01025","Clarke County, AL",2269.52532272123,1107.51867284539,3377.04399556662,5991.54685198405,2923.84929631182,8915.39614829587,0.0315211850377949,0.0153822037895193,0.0469033888273142
"01027","Clay County, AL",6781.12118890249,3088.26375073353,9869.38493963602,17902.1599387026,8153.01630193652,26055.1762406391,0.0941822387347568,0.0428925520935213,0.137074790828278
"01029","Cleburne County, AL",1041.30918495073,990.043688113655,2031.35287306439,2749.05624826993,2613.71533662005,5362.77158488998,0.0144626275687602,0.0137506067793563,0.0282132343481165
"01035","Conecuh County, AL",1900.48536953783,789.898980337981,2690.38434987582,5017.28137557988,2085.33330809227,7102.61468367215,0.0263956301324699,0.0109708191713609,0.0373664493038308
"01039","Covington County, AL",3924.22270487861,1656.25260025763,5580.47530513624,10359.9479408795,4372.50686468014,14732.4548055597,0.054503093123314,0.0230035083369115,0.0775066014602255
"01041","Crenshaw County, AL",4034.36346857529,1325.04045073721,5359.4039193125,10650.7195570388,3498.10678994624,14148.826346985,0.0560328259524346,0.0184033395935724,0.074436165546007
"01053","Escambia County, AL",3565.42798762613,1905.80348640724,5471.23147403337,9412.72988733298,5031.32120411511,14444.0510914481,0.049519833161474,0.0264694928667672,0.0759893260282412
"01057","Fayette County, AL",16549.7375376472,5425.02691089398,21974.7644485412,43691.3070993887,14322.0710447601,58013.3781441488,0.229857465800656,0.0753475959846387,0.305205061785295
"01075","Lamar County, AL",4693.38068801762,2877.42694667843,7570.80763469605,12390.5250163665,7596.40713923106,19986.9321555976,0.0651858428891336,0.0399642631483116,0.105150106037445
"01091","Marengo County, AL",7813.95964229597,2403.79956052148,10217.7592028175,20628.8534556614,6346.03083977671,26974.8842954381,0.108527217254111,0.0333861050072428,0.141913322261354
"01093","Marion County, AL",6061.73007278707,3688.36079823173,9750.0908710188,16002.9673921579,9737.27250733178,25740.2398994896,0.0841906954553759,0.0512272333087741,0.13541792876415
"01099","Monroe County, AL",2458.67071108645,1495.328358625,3953.99906971144,6490.89067726822,3947.66686676999,10438.5575440382,0.0341482043206451,0.0207684494253472,0.0549166537459923
"01105","Perry County, AL",3071.50308275533,927.038018444377,3998.54110119971,8108.76813847408,2447.38036869316,10556.1485071672,0.0426597650382685,0.0128755280339497,0.0555352930722182
"01111","Randolph County, AL",5699.76326359394,2711.43305668408,8411.19632027802,15047.375015888,7158.18326964598,22205.558285534,0.079163378661027,0.0376587924539456,0.116822171114973
"01119","Sumter County, AL",5125.64088865062,2637.09403116068,7762.73491981129,13531.6919460376,6961.92824226418,20493.6201883018,0.0711894567868141,0.0366263059883427,0.107815762775157
"01129","Washington County, AL",1407.18790363291,1078.13265035977,2485.32055399268,3714.97606559089,2846.27019694978,6561.24626254068,0.019544276439346,0.0149740645883301,0.0345183410276761
"01131","Wilcox County, AL",1587.04486595333,868.147832497135,2455.19269845046,4189.79844611678,2291.91027779244,6481.70872390922,0.0220422898049073,0.0120576087846824,0.0340998985895897
"01133","Winston County, AL",2950.49162722031,1915.89269080573,4866.38431802604,7789.29789586162,5057.95670372714,12847.2545995888,0.0409790503780599,0.0266096207056352,0.0675886710836951
"02016","Aleutians West Census Area, AK",0,17.0217742206803,17.0217742206803,0,44.937483942596,44.937483942596,0,0.000236413530842782,0.000236413530842782
"02050","Bethel Census Area, AK",0,195.750403537824,195.750403537824,0,516.781065339854,516.781065339854,0,0.00271875560469199,0.00271875560469199
"02060","Bristol Bay Borough, AK",0,8.51088711034015,8.51088711034015,0,22.468741971298,22.468741971298,0,0.000118206765421391,0.000118206765421391
"02063","Chugach Census Area, AK",0,536.18588795143,536.18588795143,0,1415.53074419178,1415.53074419178,0,0.00744702622154764,0.00744702622154764
"02066","Copper River Census Area, AK",0,102.130645324082,102.130645324082,0,269.624903655577,269.624903655577,0,0.0014184811850567,0.0014184811850567
"02068","Denali Borough, AK",0,25.5326613310204,25.5326613310204,0,67.406225913894,67.406225913894,0,0.000354620296264173,0.000354620296264173
"02070","Dillingham Census Area, AK",0,119.152419544762,119.152419544762,0,314.562387598172,314.562387598172,0,0.00165489471589948,0.00165489471589948
"02122","Kenai Peninsula Borough, AK",84.0807986198472,2594.43372016099,2678.51451878084,221.973308356397,6849.30502122502,7071.27832958142,0.0011677888697201,0.0360338016689027,0.0372015905386228
"02150","Kodiak Island Borough, AK",0,204.261290648164,204.261290648164,0,539.249807311152,539.249807311152,0,0.00283696237011338,0.00283696237011338
"02158","Kusilvak Census Area, AK",0,153.195967986123,153.195967986123,0,404.437355483364,404.437355483364,0,0.00212772177758504,0.00212772177758504
"02164","Lake and Peninsula Borough, AK",0,144.685080875783,144.685080875783,0,381.968613512067,381.968613512067,0,0.00200951501216365,0.00200951501216365
"02185","North Slope Borough, AK",0,25.5326613310204,25.5326613310204,0,67.406225913894,67.406225913894,0,0.000354620296264173,0.000354620296264173
"02195","Petersburg Borough, AK",2363.36863576583,548.477786590002,2911.84642235583,6239.29319842178,1447.9813565976,7687.27455501938,0.0328245643856365,0.00761774703597225,0.0404423114216087
"02198","Prince of Wales-Hyder Census Area, AK",0,8.51088711034015,8.51088711034015,0,22.468741971298,22.468741971298,0,0.000118206765421391,0.000118206765421391
"02240","Southeast Fairbanks Census Area, AK",0,42.5544355517008,42.5544355517008,0,112.34370985649,112.34370985649,0,0.000591033827106955,0.000591033827106955
"02275","Wrangell City and Borough, AK",0,34.0435484413606,34.0435484413606,0,89.874967885192,89.874967885192,0,0.000472827061685564,0.000472827061685564
"02282","Yakutat City and Borough, AK",0,34.0435484413606,34.0435484413606,0,89.874967885192,89.874967885192,0,0.000472827061685564,0.000472827061685564
"02290","Yukon-Koyukuk Census Area, AK",2363.36863576583,718.695528796805,3082.06416456263,6239.29319842178,1897.35619602356,8136.64939444534,0.0328245643856365,0.00998188234440006,0.0428064467300365
"04001","Apache County, AZ",3243.98864235201,1340.56601844758,4584.55466079959,8564.13001580931,3539.09428870161,12103.2243045109,0.0450553978104446,0.0186189724784386,0.0636743702888832
