"state_name","org_name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"Iowa","Mayo Clinic Rochester",392131.491424939,963046.337602889,3.09783878225702
"Iowa","Viewpoint Molecular Targeting, Inc.",373828.235090984,918094.875238648,2.95324305721878
"Kansas","University of Kansas Medical Center",12283384.1498171,33933706.4920924,99.4954116135184
"Kansas","University of Kansas Lawrence",4572354.67260189,12631449.0815734,37.0360728480753
"Kansas","Kansas State University",2628344.93962796,7260986.43936328,21.2895940109865
"Kansas","Children's Mercy Hospital (Kansas City, Mo)",533613.993463719,1474145.92049055,4.32227334705612
"Kansas","University of Missouri Kansas City",504362.119987287,1393335.57728332,4.08533317189702
"Kentucky","University of Kentucky",30379822.5070384,79415534.2891422,261.26647356053
"Kentucky","University of Louisville",12763625.3999088,33365242.0242214,109.767178439216
"Kentucky","Cincinnati Children's Hospital Medical Center",4995313.73980901,13058190.4978845,42.9596981623575
"Kentucky","University of Cincinnati",1867842.61864624,4882705.27233841,16.0634465203576
"Kentucky","Vanderbilt University Medical Center",627383.908714863,1640036.84693872,5.39550161494782
"Louisiana","Tulane University of Louisiana",18647122.6829164,51593786.2749489,182.741802292581
"Louisiana","LSU Health Scienes Center",5015129.07663244,13876108.5085856,49.1482649509979
"Louisiana","LSU Pennington Biomedical Research Center",4982167.74426822,13784909.4551845,48.8252438938286
"Louisiana","Louisiana State University A&M College Baton Rouge",3554427.87143404,9834567.7800736,34.8333931400535
"Louisiana","Louisiana State University Hsc Shreveport",2831471.06643625,7834254.94268084,27.7484164510753
"Maine","Jackson Laboratory",15427756.0055329,35959624.139247,143.478130851456
"Maine","Mainehealth",3213342.3581835,7489785.51317252,29.8840839311066
"Maine","Mount Desert Island Biological Lab",1585176.87794832,3694792.98900007,14.7421449649194
"Maine","University of New England",833869.13727844,1943615.17949189,7.7549829766895
"Maine","University of Maine Orono",579225.89021923,1350082.62358663,5.38680077903884
"Maryland","Johns Hopkins University",159850711.383876,350058694.706902,1342.74597562456
"Maryland","University of Maryland Baltimore",41735782.8533541,91397614.3223443,350.580575968175
"Maryland","Westat, Inc.",14294456.5953606,31303575.5299188,120.073435401029
"Maryland","University of Maryland, College Park",9899776.22511543,21679620.3986359,83.1581202909696
"Maryland","George Washington University",6816618.23958866,14927781.4443706,57.2595932125448
"Massachusetts","Massachusetts General Hospital",120912503.960124,270842448.983804,955.208781284981
"Massachusetts","Brigham and Women's Hospital",72053996.4274156,161400022.431985,569.226571776583
"Massachusetts","Boston Children's Hospital",42618765.5194802,95465484.9408235,336.688247603893
"Massachusetts","University of Massachusetts Medical School Worcester",39470172.868084,88412678.0215508,311.814365657863
"Massachusetts","Boston University",34329512.6559659,76897665.4658367,271.203149982131
"Michigan","University of Michigan at Ann Arbor",131300530.3131,334506854.44429,1273.61514403707
"Michigan","Michigan State University",18880567.7176014,48100942.9457509,183.141506860733
"Michigan","Wayne State University",14042591.35074,35775507.1497528,136.213136102178
"Michigan","Henry ford Health System",4654876.49073254,11858962.7096599,45.1523019601057
"Michigan","Van Andel Research Institute",4589041.97001297,11691239.865074,44.5137071091258
"Minnesota","University of Minnesota",70961330.341124,175377257.52445,645.748106104228
"Minnesota","Mayo Clinic Rochester",53083126.9196755,131192202.502999,483.056454969047
"Minnesota","Hennepin Healthcare Research Institute",3744645.70174056,9254698.163281,34.076275885839
"Minnesota","Healthpartners Institute",1688971.22885084,4174205.03152404,15.3696381825426
"Minnesota","Minnesota Healthsolutions Corporation",1076181.35389189,2659726.55159102,9.79325032041621
"Mississippi","University of Mississippi Medical Center",5416218.38689813,17440786.4174293,48.2043436433933
"Mississippi","St. Jude Children's Research Hospital",1812215.97141601,5835523.87329453,16.1287221456025
"Mississippi","University of Mississippi",1314734.63858251,4233582.25040955,11.7011382833844
"Mississippi","University of Southern Mississippi",972007.516694032,3129965.27905981,8.65086689857688
"Mississippi","Mississippi State University",859788.84084442,2768609.47363767,7.65212068351534
"Missouri","Washington University",120453790.981786,283211838.222679,1035.90260244336
